Name,KeyP,AvgP,Crosses,LongB,ThrB
Lionel Messi,2.2,64.2,1,2,0.2
Ángel Jiménez,-,31,-,9,-
Gerard Moreno,1.3,32,0.4,1.8,0.2
Karim Benzema,1.1,35.6,0.1,1.3,0.1
Ansu Fati,1.3,28.1,0.3,-,0.1
Casemiro,0.7,56.8,0.1,4.4,-
Iago Aspas,1.9,37.1,0.2,1.5,0.2
Marcos Llorente,1.2,33.6,0.4,1.3,0.1
Mikel Merino,1.1,45.3,0.1,2.1,0.2
Toni Kroos,2.4,72.2,1.3,8.2,0.1
Joselu,0.8,27.4,0.1,0.9,-
Kieran Trippier,1.2,53.2,1.2,2.4,0.1
Lucas Vázquez,1.8,51,1,2.7,-
Geoffrey Kondogbia,-,37.4,-,4.6,-
Diego Llorente,-,58,-,3,-
Antoine Griezmann,1.2,36.6,0.3,1.1,-
Javi Galán,1.1,35.4,1.3,1.8,-
Yannick Carrasco,1.6,28.2,0.6,0.7,0.1
Luis Suárez,0.8,18,0.1,0.6,0.1
Luka Modric,1.4,63.1,0.4,4.7,0.1
Frenkie de Jong,1.3,75.3,-,2.1,-
Nabil Fekir,1.5,35.6,1,1,0.1
José Campaña,1.6,51.4,1.3,2.3,0.1
Daniel Parejo,1.2,74.1,1.2,4.9,-
Thomas Partey,-,73.3,0.3,6.7,-
Jony Álamo,-,16,-,2,-
Carlos Soler,1.4,44.7,1.2,3.1,0.1
Mikel Oyarzabal,1.5,24.6,1.3,0.7,-
Alexander Isak,0.3,12.6,0.2,0.3,0.1
Rober Correa,0.7,30.5,1,1.6,-
Ousmane Dembélé,1.3,30.7,0.7,0.7,-
Jules Koundé,0.3,69.3,0.1,2.9,-
Fernando,0.6,50.8,-,2.8,0.1
Jordi Alba,1.5,73.4,0.7,1.8,-
David Silva,1.3,39.7,0.4,1.9,0.2
Emerson,1,45,0.6,1.2,-
Bryan Gil,1.8,28.2,1.5,0.5,-
Manu Sánchez,1,25,-,-,-
Sergio Barcia,-,23,-,1,-
Sergio Ramos,0.3,73.5,0.1,7.6,-
Sergio Canales,1.9,53.4,1.2,4,-
Guido Rodríguez,0.3,46.6,-,2.6,-
Kike García,0.7,22.5,0.2,0.5,-
Ángel Correa,1,22.5,0.2,0.5,-
Daniel Carvajal,0.7,51.4,0.5,2.9,-
Lucas Ocampos,1,26,0.2,0.8,-
Stefan Savic,0.1,52.7,-,3.4,-
Koke,1,65.2,0.5,3.4,0.1
Maximiliano Gómez,0.4,17.7,0.1,0.8,-
Suso,1.3,32.1,0.8,2.1,-
Jesús Navas,1.9,48.3,1.6,3.1,-
Sergio Busquets,0.8,74.5,-,3,0.2
Renato Tapia,0.3,49.6,-,3.6,-
Youssef En-Nesyri,0.4,9.9,-,0.2,-
Jan Oblak,-,22.9,-,6.3,-
Santi Mina,0.4,17.6,-,0.4,-
Eder Militão,-,55.6,0.1,4.7,-
Fidel,1.5,32.6,1.6,1.8,-
Mauro Arambarri,0.6,28.3,1,2.7,0.1
Raphael Varane,0.1,57,-,3.6,-
Jasper Cillessen,-,27.8,-,7.6,-
Marcos Acuña,1.1,48,1.1,3.3,-
Ferland Mendy,0.7,48.7,0.2,1.8,-
David García,0.1,39.1,-,3.9,-
Jawad El Yamiq,0.1,33.1,-,2.5,-
Gonçalo Guedes,1.1,23.8,0.4,1.2,0.1
Thomas Lemar,0.8,26.7,0.6,1.3,0.1
Yeray Álvarez,0.3,47.6,0.1,4.7,-
Alex Berenguer,1.1,21.5,0.7,0.3,-
Nolito,1,26.1,0.3,1.2,0.2
Adnan Januzaj,0.9,17.6,0.8,0.9,-
Iker Muniain,1.3,33.8,0.5,1.4,0.1
Carlos Domínguez,0.5,39.3,-,2.5,-
Joan Jordán,1.1,56.4,0.7,4.8,0.1
Sergio Escudero,0.7,36.4,0.8,1.3,0.1
Gabriel Paulista,0.2,48.4,-,4.3,-
Florian Lejeune,0.2,43,-,4.5,-
Aridane Hernández,0.2,29.9,-,3.2,-
Daniel Wass,1.1,41.3,0.3,2,-
Luis Milla,1.1,31.4,0.8,2.3,0.1
Mario Hermoso,0.3,57.1,0.1,3.1,-
Aritz Elustondo,0.1,53.2,-,3.3,-
Gerard Piqué,0.1,65.2,-,3.6,-
Yangel Herrera,0.3,27.2,0.1,0.8,-
Lucas Torró,0.2,26.7,-,1,-
Ante Budimir,0.3,13,-,0.1,-
Antonio Sivera,-,18,-,4,-
Philippe Coutinho,0.5,40.4,0.4,0.7,-
Nacho,0.2,50,0.2,2.8,-
Federico Valverde,0.9,31,0.2,2,-
Rubén García,1.4,27.4,1.4,1.9,-
José Giménez,0.2,52.5,-,4.1,-
Pablo Maffeo,0.7,31,0.9,1.6,-
Thibaut Courtois,-,28.3,-,3.4,-
Mario Gaspar,0.5,35.4,0.4,1.4,-
Óscar Mingueza,0.3,59.1,0.1,1.4,-
Sandro Ramírez,0.5,15,0.2,0.9,-
Iza,0.4,24.4,0.4,1.6,-
Unai Núñez,0.2,47.4,-,5,-
Hugo Mallo,0.5,43.6,0.4,1.8,-
Pau Torres,0.2,62.4,-,4.5,-
Dimitrios Siovas,0.2,51.4,-,3,-
Papu Gómez,0.9,30.6,0.6,1.6,-
Claudio Bravo,0.2,28.3,-,6.7,-
Saúl Ñíguez,0.7,33.9,0.1,0.7,0.1
Álex Moreno,0.7,41.1,0.3,1.6,-
Pedri,1.1,45.8,0.1,1.6,0.1
Brais Méndez,0.5,33.7,0.2,1.2,0.1
Álvaro Negredo,0.6,16,-,0.6,0.1
Sergio Herrera,-,32.4,-,12.5,-
David Ferreiro,2,22.2,1.8,1.4,-
Ronald Araujo,0.1,44.4,-,1.4,-
Paulo Oliveira,0.1,39.3,-,4.7,-
Alberto Perea,0.5,16.7,0.4,0.9,-
Denis Suárez,1.3,54.3,0.9,2.1,0.1
João Félix,0.7,21.5,-,0.9,0.1
Sergi Roberto,0.9,53.3,0.3,0.7,-
Darwin Machís,0.8,13.6,0.7,0.7,-
Yuri Berchiche,0.7,37.1,0.8,2.1,-
Rafa Mir,0.2,11.1,0.1,0.2,-
Rubén Sobrino,0.7,15.3,0.1,0.3,-
Felipe,0.1,33.7,-,2.1,-
Antonio Blanco,0.5,41.8,0.3,1,-
Juan Iglesias,0.4,15.2,0.4,0.6,-
Mathías Olivera,0.7,26.8,0.5,1,-
Edu Expósito,1.4,34.4,0.8,2.4,-
José Gayà,1.1,35.5,0.5,2.2,-
Juan Foyth,0.2,43.3,0.1,1.8,0.1
Lucas Olaza,0.8,44.9,0.8,1.9,-
Jaume Doménech,-,28.1,-,9.4,-
Rubén Duarte,0.9,32.1,1.1,2.7,-
Yassine Bounou,-,28.7,-,6.1,-
Renan Lodi,0.5,25,0.7,1.2,-
Alfonso Espino,0.5,22.3,0.5,1.9,-
Marcelo,1,45.8,0.8,2,0.1
Andoni Gorosabel,0.7,34.4,0.6,1.1,-
Thierry Correia,0.6,32.3,0.4,2,-
