Name,KeyP,AvgP,Crosses,LongB,ThrB
Sam Walker,0.5,27,-,11.5,-
Vadaine Oliver,0.7,23.3,-,0.1,-
Robert Atkinson,0.2,48.1,-,1.9,-
Jayden Stockley,0.9,21.1,-,0.8,-
Aiden McGeady,2.5,29.2,1.7,1.7,0.1
Jonson Clarke-Harris,1,20.6,-,0.5,0.1
Charlie Wyke,1,19.6,-,0.1,-
Siriki Dembélé,1.5,21.3,0.1,0.6,0.2
Jorge Grant,2.2,49.5,1.8,4.7,0.1
Josef Bursik,-,29,-,9,-
Benjamin Whiteman,1.9,67.2,0.1,7.2,0.1
George Honeyman,2.2,39.4,1.6,1.8,0.1
Thomas Hamer,1,32,0.1,2.8,-
Cameron Burgess,0.6,43.1,0.2,4,-
Mark McGuinness,0.2,58.7,-,3.4,-
Danny Ballard,0.3,48.6,-,3.6,-
Brandon Fleming,1,29,1,2,-
Joe Pigott,1,20.7,0.1,1.1,-
Callum Elder,1.7,38,1.9,2.1,-
Jake Forster-Caskey,1.4,40.6,1.5,3.7,0.1
Morgan Rogers,1.1,27.5,0.1,1.7,0.1
Nathan Baxter,0.2,29.8,-,8,-
Ryan Inniss,0.3,37.1,-,2.8,0.1
Joe Ward,1.9,28.6,1.5,1.2,0.1
Lee Evans,1.2,56.6,1.8,9.5,-
Alfie Doughty,1.7,26.3,1.9,1.3,-
Josh Ruffels,0.7,37,0.4,1.7,-
Mallik Wilks,0.8,16.5,0.2,0.4,-
Scott Fraser,1.5,41.6,0.2,1.7,-
Robbie Cundy,0.4,22.4,-,2.3,-
Sam Long,0.9,44.7,0.4,2.7,-
Ronan Curtis,1.5,26.7,1.2,1,-
Joe Lumley,0.5,34,-,11.5,-
Lewie Coyle,1.1,41,0.6,2.9,-
Will Nightingale,0.2,34.2,-,2.6,-
Jordan Thorniley,0.1,41.3,-,3.9,-
Mark Beevers,0.2,50,-,2.6,-
Joe Pritchard,1.4,24.8,1,1.9,-
Dan Butler,1.1,42.7,1,2.8,-
Frankie Kent,0.4,52,-,3.7,-
Ronnie Edwards,-,34.5,-,2,-
Jordan Graham,1.9,22.3,2.2,1.2,-
Ross Sykes,0.4,44.7,0.7,4.1,-
Nathan Thompson,0.7,45.6,0.1,2.2,-
Michael Nottingham,0.5,30.7,0.2,3.6,-
Connor Ogilvie,0.6,24.7,0.3,2.7,-
Perry Ng,0.9,55,0.3,5.6,-
James Wilson,0.2,44.6,-,4.5,0.1
Harry Smith,0.6,21.1,-,0.1,-
Sean Raggett,0.2,40.6,-,2.4,-
Daníel Grétarsson,0.3,38.8,-,3.9,-
Matthew Lund,0.9,32.6,0.2,1.3,-
Jack Tucker,0.2,26.4,-,4.1,-
Jack Taylor,0.6,46.3,0.1,3.4,0.1
Colby Bishop,1.4,24.6,-,0.3,-
Brandon Barker,1.3,19.4,0.6,0.7,-
George Dobson,0.5,42.5,-,4,0.1
Jordy de Wijs,-,36.3,-,2.9,-
Luke Garbutt,1.3,33,1.2,2.1,-
Kyle Dempsey,1,30.2,0.3,1.2,-
Wes Burns,0.8,24.9,0.5,1.5,-
Stephen Humphrys,0.6,12.9,0.1,0.5,-
Jake Beesley,0.4,18.3,-,0.1,-
Tom Naylor,0.4,48.9,-,2.8,-
Greg Docherty,0.9,41.7,0.1,3.2,0.1
Cian Bolger,0.2,27.8,-,4,-
Reece Burke,0.1,45,0.1,3.2,-
Lloyd Jones,0.4,32,-,2.5,-
Jacob Greaves,0.2,45.4,-,3.9,-
Luke Matheson,1,37.5,-,1.5,-
Hayden Carter,0.3,23.7,-,3.5,-
Tom Anderson,0.2,53.4,-,3.1,-
Peter Kioso,0.6,26.1,0.3,1.4,-
Lewis Montsma,0.1,43.8,-,4.3,-
Aristote Nsiala,-,46.5,-,4,-
Stuart Moore,-,37,-,3,-
Elliott Moore,0.3,54.9,-,3,-
Akin Famewo,0.1,38.5,-,4.3,-
Luke O'Nien,0.6,50.8,0.4,4.7,-
Jonny Smith,0.5,18.3,0.7,0.6,-
Sam Stubbs,-,40.4,-,3.2,-
Bailey Wright,0.1,55.8,-,5.9,-
Kenneth Dougall,0.5,42.6,0.1,2.1,-
Ellis Simms,0.8,13.5,-,0.3,-
Kal Naismith,0.7,32.9,0.3,2.9,-
Matt O'Riley,1.4,36,1.6,1.8,-
James Henry,1.7,28.8,1.5,1.4,0.1
Liam Bridcutt,0.8,47.6,0.2,3.9,-
Jerry Yates,1,17.5,-,0.4,-
Luke Woolfenden,0.2,55.3,-,4.8,-
Liam Millar,1.5,25.3,0.5,0.9,0.1
Matty Taylor,0.9,14.2,0.1,0.4,-
Conor McLaughlin,0.6,43.3,0.6,3.1,-
Gwion Edwards,0.8,17.4,0.7,0.8,0.1
Brennan Johnson,0.7,20.8,0.3,0.8,-
George Cooper,2.2,31.4,1.8,2.8,-
Mikael Mandron,0.8,17,-,0.2,0.1
Marvin Ekpiteta,0.2,40.4,-,3.2,-
Harry Chapman,0.9,17.1,0.9,1.2,-
Sean McConville,2.3,33.5,2.3,3.4,-
Jordan Jones,1.9,17.5,1.1,0.4,0.1
Luke Leahy,0.9,38.6,0.6,3,-
Joe Wright,0.3,41.8,-,2.4,-
Matthew Pennington,0.2,34.2,0.2,2.5,-
Sean Clare,0.7,31.8,0.1,1.6,-
Matthew Millar,0.2,29.1,-,1,-
Dion Charles,0.8,12.9,0.1,0.4,-
Josh Vela,0.8,37.2,0.2,2.7,-
Tom Flanagan,0.4,41.9,0.1,4.6,-
Ian Maatsen,0.8,31.5,0.4,2.3,-
Aaron Pierre,0.3,33.1,-,3.2,-
Joshua Emmanuel,0.9,32.4,1.1,1.9,0.1
Josh Magennis,0.8,12.6,0.1,0.4,-
Jack Whatmough,0.1,46.1,0.1,5.1,-
George Johnston,0.4,29.7,0.1,3,-
Callum Connolly,0.2,39.6,-,3.1,-
Curtis Tilt,0.1,29.1,-,3.2,-
Sam Hughes,0.1,33.7,-,3.7,-
Sullay Kaikai,1.3,20.3,1.2,0.8,-
Fraser Horsfall,0.2,26.1,-,2.5,-
Oliver Rathbone,0.9,39.1,0.2,2.6,-
Billy Jones,0.7,47.7,0.7,2.3,-
Tom Hopper,0.5,17.6,-,0.2,-
Charlie Kirk,1.9,36.4,0.9,1.4,0.4
Keane Lewis-Potter,0.8,15.7,0.2,0.5,-
Luke Chambers,0.5,46.6,0.3,3.8,-
Shaun Whalley,1.2,21.1,0.8,1.2,-
Andy Butler,0.1,58.5,-,2.4,-
Robert Apter,1,1,1,-,-
Conor McGrandles,0.4,36.3,-,2.5,-
Callum Camps,0.7,24.4,0.2,1,-
Mark Hughes,0.2,43.8,-,6.9,-
Chuks Aneke,0.7,12.6,-,0.2,-
Denver Hume,1.3,25.2,1.1,1.4,-
Cameron Pring,0.9,23,0.9,1.4,-
Tom James,0.5,44.3,0.5,4.6,-
Andrew Shinnie,0.9,27.9,1,1.8,-
Cameron Jerome,0.9,17.8,0.1,0.3,-
Sammie Szmodics,0.9,25.3,0.1,1.2,0.2
Conor Grant,1.6,34.3,1.6,2,-
Marcus Harness,1,27.3,0.8,0.8,-
Eoghan O'Connell,0.5,51.1,0.1,6.3,-
Ethan Ebanks-Landell,-,32.3,-,4.1,-
Joe Walsh,0.3,42.5,-,2.1,-
Nathanael Ogbeta,0.5,28,0.7,1.2,-
Ayoub Assal,0.6,12.8,0.1,0.1,-
Oliver Norburn,0.7,44.3,0.2,3.4,-
Harry Pickering,1.9,56,1.2,3.5,0.1
Charlie Daniels,1.9,33.1,1.6,1.7,-
Adam Jackson,0.2,40.9,-,2.9,-
Scott Wootton,0.2,37.1,-,5.2,-
Cameron Brannagan,1.1,50.2,0.5,3.5,-
Grant Leadbitter,0.6,47.5,0.4,4.3,-
Josef Bursik,-,30.3,-,7.3,-
Zech Medley,0.2,21.4,0.1,2.9,-
Luke O'Neill,1.4,31.5,1.9,3.4,-
John Marquis,0.8,17.3,-,0.5,-
Tayo Edun,0.8,41.2,0.3,2.5,-
Ethan Laird,1.1,22.6,0.4,0.5,-
Taylor Richards,0.9,19.8,-,1.1,-
Ben Barclay,0.3,27,-,2.3,-
Elliot Lee,1.2,21.2,0.3,0.5,-
Lynden Gooch,1.1,22.5,0.6,1.5,0.1
Richard Smallwood,0.4,42,-,4.9,-
Jack Baldwin,0.3,40.8,-,4,-
Louis Jones,-,36.7,-,6.7,-
Aaron Morley,1.5,50.9,1.1,6.8,-
Kane Hemmings,0.5,16.3,0.1,0.3,-
Will Jaaskelainen,-,26.4,-,4.2,-
CJ Hamilton,1.5,17,0.6,0.3,-
John Brayford,0.4,34.7,0.3,2.3,-
Joseph Mills,1,25,1.2,2.1,-
Callum Lang,0.8,16.7,0.1,0.8,-
Gary Madine,0.9,19.5,-,0.3,-
Josh Sims,1.4,21.5,0.3,0.2,-
Alfie Jones,0.1,34.8,-,2.7,-
Tom Pearce,1,30.6,1.9,3,-
Owen Dale,0.6,16.8,0.2,0.6,0.1
James Hill,0.2,38.4,-,3.2,-
Andre Dozzell,1.3,44.8,1.2,2.8,0.1
Tyreece John-Jules,0.9,14.4,0.1,0.1,0.1
Lucas Akins,1.2,28.5,0.2,1.1,-
Tendayi Darikwa,0.7,45.5,0.6,3.5,-
Elliot Embleton,1.4,27,0.7,0.9,-
Nathan Cameron,0.5,34,-,2,-
George Long,-,23.4,-,4.4,-
Matthew Virtue-Thick,0.9,26.6,0.2,1.4,-
Adedeji Oshilaja,0.4,45.5,0.2,4,-
James Husband,0.4,35.7,0.1,2.9,-
Alfie Kilgour,0.3,38.6,-,2.6,-
Marcus McGuane,0.9,19.2,0.3,0.4,0.1
Jayson Leutwiler,-,25,-,5.3,-
Dejan Iliev,-,29,-,8.3,-
Max Power,0.8,49.7,0.5,4.5,-
Charlie Mulgrew,0.3,41.5,0.4,4.3,-
Kieron Freeman,-,49.5,0.5,2,-
Michael Bostwick,0.3,28.6,-,3.1,-
Callum Johnson,0.9,39.7,0.8,1.5,-
Dean Lewington,0.5,81.9,0.1,4.9,-
Ben Amos,0.1,28.7,-,8.9,-
Darnell Johnson,0.5,44,0.3,4.2,-
Daniel Batty,1.6,41.8,1.2,3.1,-
Terell Thomas,0.4,28.4,0.2,2.9,-
Oliver Turton,0.4,38.9,0.3,2.7,-
Ched Evans,0.6,23.1,0.1,0.2,-
Barrie McKay,1.2,19.9,0.7,0.7,-
Nesta Guinness-Walker,0.9,23.7,0.8,1.8,-
Joe Garner,0.5,14.7,-,0.7,-
Dion Sanderson,0.1,40.2,-,3.3,-
Ryan Williams,0.7,23.1,0.4,0.4,-
Will Aimson,0.1,52.1,0.1,4.9,-
Alex Palmer,0.1,25.4,-,5.3,-
Flynn Downes,0.6,38.5,-,1.5,-
Chris Maguire,1.3,21.1,0.9,1.5,-
Sam Hoskins,0.9,21,0.6,1.7,-
Harry Darling,0.5,74.9,-,6,-
Timothy Eyoma,0.5,39.9,0.1,2.3,-
Josh Scowen,0.7,36.1,0.6,2,-
Paul Downing,-,42.3,-,3,-
Carlton Morris,1,25.4,0.1,0.4,-
Alex Rodriguez,0.1,35.1,-,2,-
Sam Finley,0.7,26.1,0.2,2.8,-
Luke Offord,0.2,52.7,-,3.4,-
Will Keane,0.8,18.4,-,0.9,-
Jason Pearce,0.2,41,-,3.8,-
Scott Twine,0.7,25.3,-,2.1,-
Josh Eccles,0.3,23.1,0.2,1.3,0.1
Ryan Wintle,0.5,54.9,0.1,5.2,-
James Bolton,0.5,27.4,0.2,2.1,-
Regan Poole,0.3,40.3,0.4,3.8,-
Joseph Dodoo,0.4,11.7,0.1,0.1,-
Ben Watson,0.4,41,0.1,4.1,-
Chris Maxwell,0.1,30.5,-,8.6,-
Andrew Cannon,0.7,31.1,0.2,1.7,-
Reece Brown,0.6,41,0.1,2.1,0.1
Reece James,0.9,37.1,0.3,1.5,0.1
Panutche Camará,0.9,31,0.1,2.1,-
Luke McCormick,0.8,26.3,0.5,1.7,-
William Grigg,0.5,13.9,-,0.4,-
Jordan Willis,0.2,34.7,0.1,3.4,-
Alex Gilbey,0.5,20,0.2,1.5,0.2
Danny Andrew,0.8,38.1,0.6,2.8,-
Janoi Donacien,0.6,25.8,0.5,1.8,-
Alan Judge,1,34.6,0.9,2,0.1
Teddy Bishop,0.4,26.9,-,1.1,0.1
Darnell Johnson,0.6,38.9,-,3.6,-
James Norwood,0.5,13,0.1,0.3,0.2
Ollie Palmer,0.7,10,0.2,0.1,-
Ross Stewart,0.8,10.8,-,0.2,-
Michael Nottingham,0.7,57.3,-,4.7,-
Jordan Rossiter,0.3,27,0.1,1.4,-
Ellis Harrison,1,14,0.1,0.2,-
Anthony Forde,1.5,24.3,2,1.9,-
Joshua Earl,0.3,30.3,0.1,2.5,-
Jack Stevens,-,33.2,-,6.6,-
Myles Kenlock,0.6,39,0.3,2.4,-
Stephen Ward,0.6,42.8,0.8,3,0.1
Thomas O'Connor,0.6,20,0.8,1.6,-
Christy Pym,0.1,30.1,-,7.6,-
Ben Garratt,-,25.1,-,7.5,-
Danny Mayor,1.4,36.4,0.4,1.6,-
Charles Vernam,0.8,20.4,0.6,0.9,-
Harvey Rodgers,0.8,22.7,0.3,1.2,-
Steve Arnold,-,31.3,-,11.4,-
Jed Ward,-,38,-,2,-
Tomas Holy,-,32.2,-,8.1,-
Michael Jacobs,1.3,22.7,1.2,1.3,-
Seamus Conneely,0.6,39.4,0.1,2,-
Funso Ojo,0.5,41.4,0.1,2.7,-
Regan Poole,0.5,26.4,0.3,2.3,-
Joseph Maguire,0.8,24.8,0.6,1.8,-
Lee Brown,1.3,34.8,1.4,2.3,-
Matt Butcher,1,24.6,0.5,1.2,-
Zain Westbrooke,2,37.6,1.5,2.3,-
Ryan Longman,1,17.5,0.3,0.4,-
Brett Pitman,0.5,14.1,-,0.3,-
Jack Bonham,0.1,31.6,-,13.4,-
Brett McGavin,1.6,49.4,1.4,3.6,-
George Williams,1,50.6,0.4,2,-
Tom Lowery,1.2,32.1,0.5,1.7,0.1
Lee Burge,-,25.3,-,5.8,-
Nikola Tzanev,-,35.1,-,9.6,-
Jack Payne,1.1,27.5,0.4,1.5,-
Louis Reed,0.6,41,0.4,3.6,-
Shaun McWilliams,0.3,24,-,1.8,-
Oliver Lancashire,-,44.8,-,4.6,-
Alex Rodman,0.9,20,0.4,0.4,-
Olamide Shodipo,0.6,9.6,0.2,0.2,-
Joe Powell,1.1,21.3,1.2,1.4,-
Matthew Smith,1.6,44.2,0.6,3.6,0.1
Sean Goss,0.4,23.3,0.2,1.6,-
Craig MacGillivray,0.1,26.7,-,8.4,-
Brad Halliday,0.9,51,0.1,1.8,-
Mickel Miller,0.8,14.4,1.1,0.5,-
Jack Rudoni,0.9,22.2,0.4,0.5,-
Alan Sheehan,0.6,30,0.6,4.3,-
Ro-Shaun Williams,0.2,34.6,0.1,4,-
Diallang Jaiyesimi,0.7,12,0.4,0.3,-
Ollie Younger,-,15,-,-,-
Ellery Balcombe,-,38.5,-,5.8,-
Omar Beckles,0.1,54.2,-,4,-
Josh Parker,1,13.3,0.7,1.7,-
Matthew Smith,1.1,45.5,0.2,3.2,-
Kevin Stewart,0.3,32.1,0.1,1.6,-
Sam Nicholson,0.7,15.1,0.2,0.5,-
Sean Roughan,0.3,35.7,0.2,1.2,-
Paddy Madden,1,15.7,0.1,0.7,0.1
Michael Mancienne,0.2,21.1,-,1.8,0.1
Colin Daniel,0.7,38.2,0.9,2.6,-
Danny Rose,0.4,12.1,-,0.2,-
Marlon Fossey,0.4,32.6,0.4,2.9,-
David Kasumu,0.4,37.9,0.1,1,-
Kane Vincent-Young,0.6,31.3,0.3,0.9,-
James Jones,0.8,32.6,0.4,1.9,-
Ryan Watson,0.4,21.3,0.1,1.6,-
Kyle Joseph,0.3,9.1,0.1,0.1,-
Conor Washington,0.6,12.5,0.2,0.4,-
Jay Lynch,0.1,32.7,-,7.7,-
Jordan Garrick,0.9,16.5,0.4,0.4,-
Aiden O'Brien,0.5,15.1,0.1,0.5,-
Tom Broadbent,0.3,20.8,-,1.5,-
Max Ehmer,0.5,34.5,0.2,2.3,-
Grant Ward,0.4,37,0.5,1.7,-
Harry Anderson,0.4,12,0.3,0.2,-
Matt Ingram,0.1,20.3,-,4.2,-
Harrison Burrows,1,14.5,0.9,0.9,-
Niall Canavan,0.1,38.3,-,3,-
Matthew Palmer,1.3,46.8,0.6,3.5,-
Archie Matthews,-,31,-,7,-
Michael Cooper,-,31.2,-,4.9,-
Oliver Finney,0.7,20.4,0.1,0.6,0.2
Curtis Main,0.7,13.4,0.1,0.1,-
Jordan Lawrence-Gabriel,0.7,25.6,0.2,1,-
Brad Walker,0.3,26.5,-,2.6,-
Gerard Garner,0.8,12.6,0.1,0.2,-
Pablo Martinez,0.3,32.8,-,2.5,-
Richard Keogh,0.1,68.2,-,4.6,-
Joshua Daniels,0.7,16.7,0.4,0.6,-
Josh Grant,0.5,31.3,0.2,1.1,-
Bryn Morris,0.7,43.4,0.3,4.5,-
Luke Robinson,0.5,24,0.3,2.2,-
Warren O'Hora,0.4,57.9,-,4.5,-
Marc Pugh,1.1,15.1,0.4,0.6,-
