Name,KeyP,AvgP,Crosses,LongB,ThrB
Jökull Andrésson,-,27.5,-,3.5,-
James Vaughan,0.8,21.8,0.1,0.3,-
Scott Twine,1.9,26.6,0.9,1.5,0.3
Callum Guy,2.1,37,2.2,2.5,-
William Boyle,0.5,48,0.1,3.1,-
Tom Conlon,1.6,36,1.1,2.5,-
Paudie O'Connor,0.3,44.7,-,5,-
Mickey Demetriou,0.6,51.1,0.2,4.3,-
Jordan Tunnicliffe,-,30.7,-,2.6,-
Emmanuel Adebowale,-,26,-,1,-
Wes Hoolahan,2.3,45.7,0.9,1.9,0.1
Antoni Sarcevic,1.3,37.1,0.4,1.9,-
Carl Piergianni,0.2,44.2,-,5.9,-
Ricardo Santos,0.2,50.6,-,4.6,-
Joshua Kayode,1.3,21.5,0.1,0.4,-
Anthony O'Connor,0.3,47.2,0.1,3.5,-
Terence Vancooten,0.2,43,-,2.7,-
Max Watters,0.7,17.6,0.2,0.1,-
Conor Wilkinson,0.6,24.4,0.2,0.7,-
George Thomson,2.9,48.3,2.5,3.3,0.1
David Worrall,2.1,28,2.5,1.4,-
Di'Shon Bernard,0.4,40.8,0.1,2.7,-
Jamille Matt,0.7,19.5,-,0.3,-
Jordan Turnbull,0.2,42.5,-,2.3,-
Peter Clarke,0.3,49.1,-,5.1,-
Yann Songo'o,0.2,28,-,1.3,-
Alex Baptiste,0.4,55.7,0.2,4.1,-
Emmanuel Onariase,0.2,31.5,-,2.5,-
Aaron Hayden,0.4,28.3,-,2.4,-
Aaron Martin,0.9,20.9,0.1,0.4,0.1
Tom Pett,1,39.2,0.4,2,0.1
Peter Kioso,1.3,38.7,0.7,1.7,-
Shaun Brisley,0.1,28.2,-,2.3,-
Tom Davies,0.3,37,-,3.1,-
Oladapo Afolayan,1.1,26,0.3,1.8,-
Matt Jay,1.6,29.7,0.7,0.4,-
George Lapslie,1.2,29.5,0.1,0.9,0.1
Brandon Cooper,0.8,47.4,0.1,4.4,-
Joe Ironside,0.9,16.7,-,0.3,-
Max Wright,1.2,16,0.5,0.7,-
Thomas McGill,-,13,-,5,-
Ibou Touray,1,42.8,0.8,2.6,-
Rory Holden,2.1,35,2,2,-
Paul Digby,0.5,43.7,-,2,-
Andy Cook,0.7,14,-,0.1,-
Matthew Platt,0.5,47.2,-,5.9,-
Paul Mullin,0.9,17.9,0.1,0.2,-
Rhys Bennett,0.2,20.5,-,1.7,-
Rory McArdle,0.2,38.9,-,3.4,-
Dylan Bahamboula,1.1,23.2,0.5,0.7,0.1
Luther Wildin,0.6,34.4,0.5,2.2,-
Declan Drysdale,0.2,32.5,-,3.3,-
Adam Phillips,2,33.6,1.4,3.1,0.1
Leon Legge,0.2,25.9,0.1,1.6,-
Carlos Mendes Gomes,1.1,22.9,0.2,1.1,0.1
Tom Nichols,1.3,33.2,0.1,0.8,-
Nicky Cadden,2,21.8,2.8,1.2,-
Greg Taylor,0.1,38.7,-,3.8,-
Jack Powell,1.5,53.4,0.9,4.6,0.1
George Tanner,1,29.2,0.5,1.8,-
Ryan Bowman,0.6,19.2,-,0.2,-
Michael Jones,0.8,55.2,1,3.8,-
Dan Scarr,0.4,43.8,-,5.4,-
Aaron Wildig,1.8,28.6,1.5,1.2,-
Scott Cuthbert,0.2,33.2,-,2.8,-
Danny Rowe,1.3,19.3,0.5,1.1,-
Timothee Dieng,0.6,35.4,0.1,1.5,-
Chris Hussey,1.5,38.7,2,3,-
Ashley Eastham,0.2,42.6,-,4.1,-
Baily Cargill,0.5,42.1,0.4,3.5,-
James Clarke,-,28,-,2,-
Jake Taylor,0.5,34.7,0.1,1.5,-
Thomas Eastman,0.2,44.6,-,4.7,-
James Perch,0.3,36.6,0.1,2.2,-
Harry Pell,0.5,41.7,0.2,3.3,-
Ebou Adams,0.6,35.7,0.1,2.4,-
Tylor Golden,0.7,26.6,0.6,2.4,-
Elijah Adebayo,0.7,17.8,0.2,0.2,-
Ryan Sweeney,0.1,32.7,-,2.4,-
James Hanson,0.7,24.1,0.1,0.2,-
John O'Sullivan,1.8,29.3,1.3,1.4,-
