Name,KeyP,AvgP,Crosses,LongB,ThrB
André Ferreira,-,24,-,10,-
Alex Telles,1.7,46.3,3,1,-
Pote,1.6,30.1,0.6,1.3,0.1
Otávio,1.7,54.4,0.8,2.8,0.2
Nanu,0.7,24.7,1.7,0.3,-
Rafa,1.5,33,0.4,0.6,-
Iuri Medeiros,1.4,23.3,1.4,2,-
Sebastián Coates,0.3,54.8,-,4.2,0.1
Mehdi Taremi,1.1,15.5,0.1,0.2,0.1
Nuno Mendes,1.1,37.1,1.4,1.6,-
Thiago Santana,0.8,11.2,0.2,1.2,-
João Palhinha,0.4,41,-,2.5,-
Sérgio Oliveira,1.5,46.7,1.3,3.1,0.1
Carlos Junior,0.5,18.8,0.2,0.3,-
Haris Seferovic,0.7,16.8,0.1,0.3,0.1
Ryan Gauld,2.3,22.2,1.8,0.9,0.1
Everton,1.3,25.9,0.7,0.8,0.1
Alejandro Grimaldo,1.5,49.4,1.1,1.1,0.1
Pedro Porro,1.7,39.1,1.7,2.8,-
Lucas Verissimo,-,62.2,-,2.4,-
André Almeida,1.8,47,0.8,1.3,-
Ivo Rodrigues,1,26.5,0.4,0.9,-
Wendel,1,60,-,3,-
Paulinho,1.3,22.7,0.3,1.1,0.3
Jesús Corona,2.3,34.5,1.1,1.5,-
Adel Taarabt,1.2,50.1,0.4,2.1,0.1
Wenderson Galeno,1.5,28.9,0.6,1.7,-
Rúben Dias,-,68,-,2,-
Paulinho,1,18.6,0.1,0.7,-
Mateus Uribe,0.5,51.4,0.2,2.9,0.1
Joao Ferreira,1,50,1,3,-
Carlos Mané,1.2,22.6,0.8,0.8,-
Pedro Amador,1,34.8,0.8,3.5,-
Matous Trmal,-,30,-,5,-
Dener,0.6,46.8,-,2.6,0.1
Wilson Manafá,0.8,50.2,0.5,2.2,-
Guilherme,-,86,-,5,-
Paulinho,0.9,28.2,-,0.8,0.1
Rochinha,1,13.9,0.6,1.3,-
Luciano Vietto,0.7,16.3,0.3,0.7,-
Luis Díaz,0.7,19.2,-,0.8,-
Douglas Tanque,0.6,17.2,0.1,0.4,-
Gil Dias,0.6,29.6,-,0.8,0.1
Willyan,0.3,38.7,-,4.4,-
Zouhair Feddal,0.5,60.9,-,3.9,-
Ricardo Esgaio,1.3,46,1.1,2.2,-
Fábio Pacheco,0.2,36.2,-,2.1,-
Maurício Antônio,0.1,57.2,0.1,6.5,-
Oleg Reabciuk,1,34.7,1.1,1.6,-
Bruno Costa,1.4,37.3,1.1,2.4,-
Fahd Moufi,0.8,28.2,0.8,1.4,-
Nuno Sequeira,0.8,57.1,0.5,3.8,-
Pepe,0.2,60,-,4.6,-
Gideon Mensah,0.5,36.5,0.1,1.2,-
Léo Andrade,0.1,46.4,-,3,-
Ricardo Ferreira,-,36.2,-,9,-
João Mário,1.2,42.1,0.6,1.6,-
Hidemasa Morita,0.4,43.6,0.2,2.9,-
Jan Vertonghen,0.1,64.8,-,3.7,-
Daniel Guimarães,-,28.5,-,5.6,-
Rúben Lima,1.2,33.3,1.1,2.1,0.1
Nicolás Otamendi,0.1,68,-,3.1,-
Mario González,0.3,15.7,-,0.7,0.1
Aderllan Santos,0.1,59.3,-,3.6,-
Luís Neto,0.2,55.3,-,4.2,-
Darwin Núñez,1.2,13.1,-,0.2,-
Helton Leite,-,26.9,-,6,-
André André,0.6,36,0.1,2.2,-
Ricardo Horta,1.3,26.6,0.4,1,-
Nuno Santos,1.4,25.6,1.2,0.9,-
Zainadine Júnior,0.3,43.2,0.1,4.5,-
Getterson,-,13,-,-,-
Óscar Estupiñán,0.3,12.5,-,0.2,-
Falaye Sacko,0.8,47,0.6,3.5,-
Pizzi,1.5,43.5,1.4,2.3,0.1
Rúben Vinagre,1.2,31.6,1.1,1,-
Pedro Trigueira,-,30.8,-,6.8,-
Gabriel Pires,0.4,47.5,0.1,4.1,0.1
Ricardo Quaresma,1.7,16.3,2,0.8,0.1
Bruno Viana,-,65,-,5.8,-
Ruben Lameiras,0.9,19.4,0.2,1,0.2
Alberth Elis,1,15.8,0.2,0.1,-
André Castro,0.6,43.4,0.2,3.8,-
Claudio Winck,0.8,32.1,0.7,1.5,0.1
Lucas Fernandes,1.9,37.3,1.1,2.7,0.1
Kalindi,0.7,29.6,0.9,3.4,-
Diogo Gonçalves,0.9,33.5,0.8,1,-
Maracás,0.1,38.1,-,3.1,-
Stephen Eustáquio,0.9,48.9,0.2,3.1,-
Gustavo Sauer,1.2,16.7,1,0.6,-
Luís Maximiano,-,18,-,2.5,-
Fábio Abreu,0.3,10.3,-,0.3,-
Rodrigo Pinho,0.3,9.8,-,0.2,0.1
Amir Abedzadeh,-,30.3,-,8.3,-
Stanislav Kritsyuk,-,26.1,-,6.7,-
Pedrinho,2,27.7,1.3,2.8,0.1
Tiago Esgaio,0.4,35.5,0.3,2.6,-
Zaidu Sanusi,0.4,32.1,0.5,0.7,-
Angel Gomes,1.5,29.3,0.6,1.8,0.1
Odysseas Vlachodimos,-,22.1,-,3.8,-
Beto,0.6,10.9,-,0.2,-
Miguel Oliveira,-,23,-,5,-
André Moreira,-,31.3,-,8,-
Gilberto,0.7,36.4,0.6,0.8,-
Toni Martínez,0.3,7.4,-,0.1,-
João Vigário,1.5,27.1,1.1,1.2,0.1
Julian Weigl,0.4,61.6,0.1,3.4,-
Joel,0.5,15.7,-,0.4,-
Nahuel Ferraresi,0.3,47.1,0.1,3.3,-
João Talocha,1.1,37.4,1,2.2,-
Al Musrati,0.6,42.1,0.1,4.8,0.1
Gonçalo Inacio,0.2,43.8,-,3.2,0.1
Luther Singh,0.8,20.4,0.4,1.3,0.1
Crysan,0.7,13,0.3,0.4,-
César Martins,0.2,38.8,-,5.4,-
Moussa Marega,0.5,11.3,0.1,-,-
Zé Carlos,-,35,0.5,1.3,-
Allano,0.7,20.5,0.5,0.3,-
Ricardo Mangas,0.5,24.5,0.2,0.8,-
Pêpê,1.3,54.3,0.6,6.1,0.2
Manuel Ugarte,0.8,27.3,0.1,1.6,-
Anderson Carvalho,0.4,24.9,-,1.3,-
Marko Grujic,0.2,23.6,-,1.3,-
Vitor Tormena,0.2,60.8,0.1,2.9,-
Brian Araújo,-,29,-,7,-
Danilo Pereira,0.3,52.7,-,2.3,-
André Amaro,0.1,38,-,2.7,-
Rafael Ramos,0.7,31,0.7,2,-
Gian-Luca Waldschmidt,1.1,19,0.3,0.5,0.1
Lucas Possignolo,0.2,47.3,-,4.6,-
Chancel Mbemba,0.3,58.4,-,3.2,-
Filipe Augusto,0.6,55.3,0.1,3.1,-
Lourency,1,19.7,0.9,0.8,-
Yanis Hamache,0.8,18.8,0.9,0.8,-
Jovane Cabral,0.8,9.8,0.2,0.6,0.2
Miguel Cardoso,1,23.2,0.5,0.6,-
Pepelu,0.5,44.2,0.1,3.5,-
Morato,-,29.5,-,1.5,-
Fábio Cardoso,0.4,46.4,0.1,4.3,-
Raúl Silva,0.3,50.7,-,3.3,-
Luquinhas,1.7,22.9,1.4,0.8,0.1
Jonatan Lucca,1.2,24.1,1,2.4,-
Joel Pereira,0.8,39.5,0.7,5.1,0.1
Abdoulaye Ba,-,32.1,-,2.6,-
Jorge Silva,1.5,23.5,0.5,0.5,-
Léo Jardim,-,24,-,6.3,-
Pedro Marques,0.7,13.1,-,0.4,-
João Mário,0.5,14.3,0.1,0.4,-
Fransergio,0.7,33.9,0.2,2.4,0.1
Pelé,0.2,46.5,-,4.1,-
Nanu,0.3,29,0.2,0.7,0.1
Marcus Edwards,0.6,14.9,0.5,0.3,0.1
Lincoln,1.3,24.2,1.1,1.3,0.1
Mansur,0.3,38.4,0.2,2.1,-
Lucas Mineiro,0.2,27.4,-,2,-
Antonio Adán,-,27,-,4.8,-
Chidozie Awaziem,0.1,41,-,3.9,-
Pedro Nuno,1.5,20.2,1,1.3,0.2
Marco Baixinho,0.1,35.7,-,4.7,-
Mikel Agu,0.1,26.7,-,1.5,-
Eduardo Mancha,0.1,33.6,-,3.4,-
