name,date_of_birth,height,foot,joined,contract_until,market_value,nationality_1,nationality_2,nationality_3
EdersonEderson,1993-08-17,1.88,left,2017-07-01,2025-06-30,50000000.0,'Brazil', 'Portugal',None
Zack Steffen,1995-04-02,1.91,right,2019-07-09,2023-06-30,6000000.0,'United States',None,None
Rúben Dias,1997-05-14,1.87,right,2020-09-29,2026-06-30,75000000.0,'Portugal',None,None
Aymeric Laporte,1994-05-27,1.89,left,2018-01-30,2025-06-30,45000000.0,'Spain', 'France',None
Nathan Aké,1995-02-18,1.8,left,2020-08-05,2025-06-30,32000000.0,'Netherlands'," ""Cote d'Ivoire""",None
John Stones,1994-05-28,1.88,right,2016-08-09,2022-06-30,30000000.0,'England',None,None
Eric García,2001-01-09,1.83,right,2019-07-01,2021-06-30,20000000.0,'Spain',None,None
Philippe Sandler,1997-02-10,1.9,right,2018-07-31,2022-06-30,2500000.0,'Netherlands', 'United States',None
Oleksandr Zinchenko,1996-12-15,1.75,left,2016-07-04,2024-06-30,25000000.0,'Ukraine',None,None
Benjamin Mendy,1994-07-17,1.85,left,2017-07-24,2023-06-30,20000000.0,'France', 'Senegal',None
João Cancelo,1994-05-27,1.82,right,2019-08-07,2025-06-30,55000000.0,'Portugal',None,None
Kyle Walker,1990-05-28,1.83,right,2017-07-14,2024-06-30,28000000.0,'England',None,None
RodriRodri,1996-06-22,1.91,right,2019-07-04,2024-06-30,70000000.0,'Spain',None,None
FernandinhoFernandinho,1985-05-04,1.79,right,2013-07-01,2021-06-30,2000000.0,'Brazil',None,None
Ilkay Gündogan,1990-10-24,1.8,right,2016-07-01,2023-06-30,40000000.0,'Germany',None,None
Kevin De Bruyne,1991-06-28,1.81,right,2015-08-30,2025-06-30,100000000.0,'Belgium',None,None
Bernardo Silva,1994-08-10,1.73,left,2017-07-01,2025-06-30,70000000.0,'Portugal',None,None
Raheem Sterling,1994-12-08,1.7,right,2015-07-14,2023-06-30,90000000.0,'England', 'Jamaica',None
Phil Foden,2000-05-28,1.71,left,2017-07-01,2024-06-30,80000000.0,'England',None,None
Jack Harrison,1996-11-20,1.75,left,2018-01-30,2022-06-30,15000000.0,'England',None,None
Ferran Torres,2000-02-29,1.84,right,2020-08-04,2025-06-30,50000000.0,'Spain',None,None
Riyad Mahrez,1991-02-21,1.79,left,2018-07-10,2023-06-30,42000000.0,'Algeria', 'France',None
Patrick Roberts,1997-02-05,1.67,left,2015-07-19,2022-06-30,2000000.0,'England',None,None
Gabriel Jesus,1997-04-03,1.75,right,2017-01-01,2023-06-30,60000000.0,'Brazil',None,None
Sergio Agüero,1988-06-02,1.73,right,2011-07-28,2021-06-30,18000000.0,'Argentina', 'Spain',None
AlissonAlisson,1992-10-02,1.91,right,2018-07-19,2024-06-30,60000000.0,'Brazil',None,None
Caoimhin Kelleher,1998-11-23,1.88,right,2019-07-01,2022-06-30,2500000.0,'Ireland',None,None
AdriánAdrián,1987-01-03,1.9,right,2019-08-05,2022-06-30,1000000.0,'Spain',None,None
Virgil van Dijk,1991-07-08,1.93,right,2018-01-01,2023-06-30,55000000.0,'Netherlands', 'Suriname',None
Joe GomezJoe Gomez,1997-05-23,1.88,right,2015-07-01,2024-06-30,30000000.0,'England', 'The Gambia',None
Ozan Kabak,2000-03-25,1.86,right,2021-02-01,2021-06-30,25000000.0,'Turkey',None,None
Joel Matip,1991-08-08,1.95,right,2016-07-01,2024-06-30,18000000.0,'Cameroon', 'Germany',None
Nathaniel Phillips,1997-03-21,1.9,right,2019-07-01,2023-06-30,8000000.0,'England',None,None
Rhys Williams,2001-02-03,1.95,right,2020-07-01,2022-06-30,5000000.0,'England', 'Jamaica',None
Ben Davies,1995-08-11,1.85,left,2021-02-01,2025-06-30,3000000.0,'England',None,None
Andrew Robertson,1994-03-11,1.78,left,2017-07-21,2024-06-30,65000000.0,'Scotland',None,None
Konstantinos Tsimikas,1996-05-12,1.79,left,2020-08-10,2025-06-30,8000000.0,'Greece',None,None
Trent Alexander-Arnold,1998-10-07,1.8,right,2016-07-01,2024-06-30,75000000.0,'England',None,None
Neco Williams,2001-04-13,1.83,right,2020-01-01,2025-06-30,8000000.0,'Wales',None,None
FabinhoFabinho,1993-10-23,1.88,right,2018-07-01,2023-06-30,60000000.0,'Brazil',None,None
Naby Keïta,1995-02-10,1.72,right,2018-07-01,2023-06-30,32000000.0,'Guinea',None,None
Georginio Wijnaldum,1990-11-11,1.75,right,2016-07-22,2021-06-30,30000000.0,'Netherlands', 'Suriname',None
ThiagoThiago,1991-04-11,1.74,right,2020-09-18,2024-06-30,30000000.0,'Spain', 'Brazil',None
Curtis Jones,2001-01-30,1.85,right,2020-07-01,2025-06-30,30000000.0,'England',None,None
Jordan Henderson,1990-06-17,1.87,right,2011-07-01,2023-06-30,20000000.0,'England',None,None
Alex Oxlade-Chamberlain,1993-08-15,1.75,right,2017-08-31,2023-06-30,18000000.0,'England',None,None
James Milner,1986-01-04,1.75,right,2015-07-01,2022-06-30,3000000.0,'England',None,None
Ben Woodburn,1999-10-15,1.74,right,2017-01-01,2022-06-30,2000000.0,'Wales', 'England',None
Sadio Mané,1992-04-10,1.74,right,2016-07-01,2023-06-30,85000000.0,'Senegal',None,None
Diogo JotaDiogo Jota,1996-12-04,1.78,right,2020-09-19,2025-06-30,45000000.0,'Portugal',None,None
Mohamed Salah,1992-06-15,1.75,left,2017-07-01,2023-06-30,100000000.0,'Egypt',None,None
Harry Wilson,1997-03-22,1.73,left,2018-07-01,2023-06-30,17000000.0,'Wales', 'England',None
Xherdan Shaqiri,1991-10-10,1.69,left,2018-07-13,2023-06-30,12000000.0,'Switzerland', 'Kosovo',None
