Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Fernando Miguel,Atletico GO, 36, GK,,,1,90,-,-,-,-,-,50,1,1,9.12
Thaciano,Bahia, 26, M(C),,,1,86,2,-,-,-,3,72.2,-,1,8.62
Lucas Evangelista,Red Bull Bragantino, 26, M(CLR),,,1,80,1,1,-,-,1,94.4,2,1,8.60
Tiago Volpi,Sao Paulo, 30, GK,,,1,90,-,-,-,-,-,81.3,-,1,8.60
Jorginho,Ceara, 30, AM(CL),,,1,90,1,-,-,-,3,63.9,3,1,8.53
Yago Pikachu,Fortaleza, 28, D(R),M(CLR),,0(1),45,2,-,-,-,2,75,-,1,8.34
Rossi,Bahia, 28, AM(R),,,1,90,-,2,1,-,-,42.1,1,-,8.28
Juninho,Bahia, 26, D(CL),,,1,90,1,-,-,-,1,63.3,3,-,8.25
Vanderson,Gremio, 19, D(R),,,1,90,1,-,-,-,1,98.1,2,-,8.20
Artur,Red Bull Bragantino, 23, AM(LR),,,1,90,-,-,-,-,3,88.4,2,-,8.18
Helinho,Red Bull Bragantino, 21, AM(LR),,,1,80,1,-,-,-,4,83.8,-,-,8.11
Cléber,Ceara, 24, FW,,,1,76,1,-,-,-,2,88.2,5,-,8.09
Mateus Claus,Bahia, 26, Goalkeeper,,,1,90,-,-,-,-,-,80,-,-,8.01
Weverton,Palmeiras, 33, GK,,,1,90,-,-,-,-,-,67.5,-,1,7.91
Bruno Henrique,Flamengo, 30, AM(CLR),FW,,1,90,-,1,-,-,3,94.4,-,-,7.90
Zé Roberto,Atletico GO, 27, FW,,,1,85,1,-,-,-,1,88.9,1,-,7.89
Fabricio Bruno,Red Bull Bragantino, 25, D(C),,,1,90,-,1,-,-,1,88.4,2,-,7.88
Luan Cândido,Red Bull Bragantino, 20, D(L),,,1,90,-,-,-,-,1,85.1,4,-,7.88
Claudinho,Red Bull Bragantino, 24, AM(C),FW,,1,88,-,-,-,-,2,76.5,-,-,7.87
Ramires,Red Bull Bragantino, 20, AM(CR),,,1,90,-,1,-,-,-,95.4,1,-,7.82
Rick,Ceara, 21, Midfielder,,,1,90,1,-,-,-,2,68.4,3,-,7.80
Rodrigo,Internacional, 31, DMC,,,1,90,1,-,-,-,1,83.1,3,1,7.75
Clayson,Cuiaba, 26, AM(LR),,,1,80,-,1,-,-,2,83.3,-,1,7.71
Danielzinho,Bahia, 25, M(CR),,,1,86,-,1,-,-,-,91.9,-,-,7.53
Pedro Henrique,Athletico Paranaense, 25, D(C),,,1,90,-,-,-,-,-,89.7,6,1,7.50
Ytalo,Red Bull Bragantino, 33, AM(C),FW,,1,65,1,-,-,-,1,88.9,2,-,7.50
Giorgian de Arrascaeta,Flamengo, 27, AM(CLR),FW,,1,87,-,-,-,-,3,79.6,4,-,7.47
Igor,Atletico GO, 28, D(L),,,1,90,-,-,-,-,1,69,5,-,7.47
Matheus Peixoto,Juventude, 25, Forward,,,1,89,1,-,-,-,1,85.7,3,-,7.46
Diego Alves,Flamengo, 35, GK,,,1,90,-,-,-,-,-,81,-,-,7.45
Léo Ortiz,Red Bull Bragantino, 25, D(C),,,1,88,-,-,-,-,-,92.8,-,-,7.42
Nino,Fluminense, 24, D(C),,,1,90,-,-,-,-,-,80,4,-,7.41
Jonathan Cafú,Cuiaba, 29, AM(R),FW,,1,83,1,-,-,-,1,86.4,2,-,7.39
Miranda,Sao Paulo, 36, D(C),,,1,90,-,-,-,-,-,96.2,5,-,7.38
Wescley,Juventude, 29, AM(R),,,1,90,1,-,-,-,1,85.2,-,-,7.37
Edenílson,Internacional, 31, D(R),M(CLR),,1,73,1,1,-,-,2,96.9,-,-,7.36
Matheus Henrique,Gremio, 23, DMC,,,1,90,-,1,-,-,1,88.9,-,-,7.35
Gabriel Menino,Palmeiras, 20, D(R),M(CR),,1,90,-,-,-,-,2,83.3,-,-,7.34
Pedro,Flamengo, 23, FW,,,1,90,1,-,-,-,4,57.9,-,-,7.34
Carlos Eduardo,Athletico Paranaense, 24, AM(LR),FW,,0(1),31,1,-,-,-,1,85.7,-,-,7.32
Egídio,Fluminense, 34, D(L),,,1,90,-,-,-,-,2,89.3,1,-,7.32
Khelven,Athletico Paranaense, 20, D(R),,,1,86,-,-,-,-,-,76,-,-,7.28
Abel Hernández,Fluminense, 30, FW,,,1,75,-,-,1,-,3,50,5,-,7.27
Aderlan,Red Bull Bragantino, 30, D(R),M(R),,1,90,-,-,-,-,2,82.3,2,-,7.27
Léo Chú,Gremio, 21, AM(L),,,1,90,-,1,-,-,3,62.5,-,-,7.26
Reinaldo,Sao Paulo, 31, D(L),M(L),,1,90,-,-,1,-,1,63.9,1,-,7.25
Élton,Cuiaba, 35, FW,,,1,90,1,-,-,-,3,61.5,3,-,7.23
Hulk,Atletico MG, 34, AM(CLR),FW,,1,90,1,-,-,-,5,53.8,1,-,7.23
Matheus Vargas,Fortaleza, 24, M(C),,,1,90,-,-,-,-,5,78.3,1,-,7.22
Germán Conti,Bahia, 26, D(C),,,1,90,-,-,-,-,-,88.2,1,-,7.20
Caio Paulista,Fluminense, 23, AM(LR),,,1,74,-,-,-,-,2,69,2,-,7.18
Uendel,Cuiaba, 32, D(L),,,1,90,-,-,-,-,-,94.5,2,-,7.18
Willian Maranhão,Atletico GO, 25, DMC,,,1,90,-,-,1,-,1,73.3,1,-,7.18
Diego,Flamengo, 36, M(CLR),,,1,87,-,-,-,-,-,89.7,1,-,7.17
Capixaba,Juventude, 24, Forward,,,1,90,-,1,-,-,-,88.2,-,-,7.17
Léo,Sao Paulo, 25, D(CL),,,1,90,-,-,-,-,1,90.5,3,-,7.17
David,Fortaleza, 25, AM(CLR),FW,,0(1),24,-,1,-,-,-,100,-,-,7.16
Nathan Silva,Atletico GO, 24, D(C),DMC,,1,90,-,-,1,-,-,83,2,-,7.16
Ricardo,Gremio, 20, Forward,,,1,90,1,-,-,-,4,61.1,1,-,7.15
Éderson,Fortaleza, 21, DMC,,,1,90,-,-,1,-,2,82.1,1,-,7.14
Cleiton,Red Bull Bragantino, 23, GK,,,1,90,-,-,-,-,-,83.3,-,-,7.13
Robson,Fortaleza, 30, AM(LR),FW,,1,66,-,1,-,-,2,73.3,-,-,7.13
Samuel Xavier,Fluminense, 30, D(R),,,1,90,-,-,-,-,-,82.4,1,-,7.13
André,Sport Recife, 30, FW,,,0(1),45,1,-,-,-,1,76.9,-,-,7.11
Filipe Luís,Flamengo, 35, D(L),,,1,90,-,-,-,-,-,84.7,3,-,7.11
Santos,Athletico Paranaense, 31, GK,,,1,90,-,-,-,-,-,72.7,-,-,7.07
Marcos Felipe,Fluminense, 25, GK,,,1,90,-,-,-,-,-,31.3,-,-,7.07
Bruno Alves,Sao Paulo, 30, D(C),,,1,90,-,-,-,-,1,88.9,4,-,7.06
Gerson,Flamengo, 24, M(CLR),,,1,90,-,-,-,-,-,96.4,2,-,7.06
Gilberto,Bahia, 31, FW,,,1,74,-,-,-,-,1,60,2,-,7.06
Marlon,America MG, 27, Defender,,,1,84,-,-,-,-,1,79.1,-,-,7.05
Dudu Santos,Atletico GO, 24, D(R),,,1,90,-,-,-,-,1,74.3,1,-,7.04
Míchel Macedo,Juventude, 31, D(R),,,1,76,-,-,1,-,-,61.5,1,-,7.04
Rodrigo Caio,Flamengo, 27, D(CR),DMC,,1,90,-,-,1,-,1,88.7,3,-,7.02
Abner Vinicius,Athletico Paranaense, 21, D(L),,,1,90,-,-,-,-,-,90.7,1,-,7.00
Renan Guedes,Bahia, 23, Defender,,,1,90,-,-,-,-,-,73.7,-,-,6.99
Martinelli,Fluminense, 19, DMC,,,1,90,-,-,-,-,-,66.7,1,-,6.98
Renzo Saravia,Internacional, 27, D(R),,,1,90,-,-,-,-,-,82.8,-,-,6.97
Matheus Bahia,Bahia, 21, D(L),,,1,90,-,-,1,-,-,75,-,-,6.96
Vitinho,Athletico Paranaense, 22, AM(L),,,1,78,-,-,-,-,1,81,4,-,6.96
Christian,Athletico Paranaense, 20, DMC,,,1,87,-,-,-,-,2,88.5,-,-,6.95
João Paulo da Silva,Atletico GO, 30, AM(CL),,,1,90,-,1,-,-,1,69,-,-,6.95
Luccas Claro,Fluminense, 29, D(C),,,1,90,-,-,-,-,1,66.7,1,-,6.92
Felipe Azevedo,America MG, 34, AM(CLR),FW,,1,63,-,-,-,-,2,77.8,2,-,6.91
Matheus Cavichioli,America MG, 34, Goalkeeper,,,1,90,-,-,-,-,-,76.9,-,-,6.90
