Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Philipp Klewin,Erzgebirge Aue, 27, Goalkeeper,,,1,90,-,-,-,-,-,78.4,-,-,7.98
Robert Zulj,Bochum, 29, AM(C),FW,,30(1),2634,15,13,6,-,2.1,76,2,9,7.67
Tim Kleindienst,FC Heidenheim, 25, FW,,,15,1276,11,-,4,-,2.5,62.6,6.6,4,7.54
Serdar Dursun,Darmstadt, 29, FW,,,32(1),2695,27,3,4,-,3.2,66.2,1.7,7,7.45
Philipp Hofmann,Karlsruher SC, 28, FW,,,30,2628,13,5,5,-,2.7,67.3,6.6,5,7.43
Simon Terodde,Hamburg, 33, FW,,,31(2),2727,24,5,3,-,2.4,59.2,3.4,7,7.36
Omar Marmoush,St. Pauli, 22, FW,,,19(2),1544,7,2,2,-,2.3,73.2,2,5,7.34
Kevin Behrens,Sandhausen, 30, FW,,,30(2),2713,13,-,5,-,2,71,6.8,6,7.33
Timo Hübers,Hannover, 24, D(C),,,19(1),1751,2,-,4,-,0.6,79.8,3.3,2,7.31
Patrick Mainka,FC Heidenheim, 26, D(C),,,33,2970,5,3,5,-,0.7,80.7,4.3,4,7.30
Carl Klaus,Darmstadt, 27, Goalkeeper,,,2,180,-,-,-,-,-,78,-,-,7.28
Branimir Hrgota,Greuther Fuerth, 28, AM(LR),FW,,29(2),2539,16,6,2,-,3.1,74.6,0.2,4,7.25
Paul Seguin,Greuther Fuerth, 26, D(R),DMC,,33,2838,7,8,9,-,1.2,81.6,1.2,1,7.23
Marius Funk,Greuther Fuerth, 25, GK,,,1,90,-,-,-,-,-,75.9,1,-,7.23
Marvin Wanitzek,Karlsruher SC, 28, M(C),,,31(2),2798,6,5,9,-,2,77,1.8,6,7.21
Rodrigo Zalazar,St. Pauli, 21, M(C),,,32(2),2697,6,5,3,-,2.2,78.3,0.9,3,7.16
Mikkel Kirkeskov,Holstein Kiel, 29, D(L),,,5(1),501,-,1,-,-,-,80.2,1.2,1,7.12
Julian Green,Greuther Fuerth, 25, M(CL),FW,,28(2),2236,9,2,5,-,2.3,84.2,0.8,3,7.12
Sonny Kittel,Hamburg, 28, AM(CLR),FW,,27(4),2352,9,6,4,1,1.7,75.9,0.2,5,7.12
Marvin Ducksch,Hannover, 27, FW,,,30(4),2596,16,7,4,-,3,66,0.9,5,7.10
Daniel-Kofi Kyereh,St. Pauli, 25, AM(CLR),FW,,33(1),2724,9,7,4,-,2.1,75.4,0.9,1,7.10
