Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Fabian Bredlow,Stuttgart, 26, GK,,,1,90,-,-,-,-,-,75.8,1,-,8.44
Robert Lewandowski,Bayern, 32, FW,,,28(1),2463,41,7,4,-,4.7,77.2,1.7,11,8.07
Erling Haaland,Borussia Dortmund, 20, FW,,,27(1),2410,27,6,2,-,3.3,72.7,1.3,8,7.63
Joshua Kimmich,Bayern, 26, D(CR),DMC,,25(2),2197,4,10,4,-,1.4,88.3,0.7,1,7.57
Jadon Sancho,Borussia Dortmund, 21, AM(CLR),,,24(2),2069,8,11,-,-,2,82.4,0.1,4,7.54
André Silva,Eintracht Frankfurt, 25, FW,,,32,2771,28,5,1,-,3.7,73.4,2.3,8,7.51
Thomas Müller,Bayern, 31, M(CLR),FW,,31(1),2683,11,18,-,-,1.6,75,1.6,3,7.51
Matheus Cunha,Hertha Berlin, 22, AM(CL),FW,,25(2),2156,7,4,9,-,2.6,70.9,0.7,5,7.33
Wout Weghorst,Wolfsburg, 28, FW,,,33(1),2950,20,8,3,-,2.7,66.1,2.8,6,7.31
Maximilian Arnold,Wolfsburg, 27, M(CR),,,30,2591,3,6,7,1,1.8,84.4,1.4,5,7.30
Elias Bördner,Eintracht Frankfurt, 19, Goalkeeper,,,1,90,-,-,-,-,-,58.8,-,-,7.30
Filip Kostic,Eintracht Frankfurt, 28, M(LR),FW,,29(1),2536,4,14,4,-,1.7,69.9,0.5,6,7.29
Christopher Nkunku,RBL, 23, M(CLR),FW,,19(9),1895,6,6,2,-,2,84.3,1,3,7.26
Mats Hummels,Borussia Dortmund, 32, D(C),,,32(1),2817,5,-,6,-,0.9,87.6,3.9,2,7.26
Leon Bailey,Leverkusen, 23, M(LR),,,25(5),2148,9,8,6,-,1.9,78.1,0.6,4,7.26
Raphael Guerreiro,Borussia Dortmund, 27, D(L),M(CL),,25(2),2224,5,10,1,-,1.4,86.9,0.2,3,7.24
Andrej Kramaric,Hoffenheim, 29, AM(CLR),FW,,26(2),2386,20,5,2,-,3.4,82.2,0.3,8,7.23
Ermin Bicakcic,Hoffenheim, 31, D(C),,,2,129,1,-,1,-,1,86.9,3.5,-,7.20
Leon Goretzka,Bayern, 26, M(CR),,,18(6),1707,5,5,2,-,1.8,87.7,1.3,3,7.20
Serge Gnabry,Bayern, 25, AM(CLR),FW,,20(7),1654,10,2,4,-,2.2,83.5,0.3,1,7.18
Willi Orban,RBL, 28, D(C),,,25(4),2361,4,1,4,-,0.8,87.5,3.9,2,7.17
Silas Wamangituka,Stuttgart, 21, M(LR),FW,,24(1),1931,11,4,6,-,1.8,70.8,0.6,3,7.13
