Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Emiliano Buendía,Norwich, 24, M(R),,,39,3340,15,16,4,2,2.8,78.6,0.9,14,7.78
William Forrester,Stoke, 19, Defender,,,1,90,1,-,-,-,2,66.7,2,-,7.72
Kieffer Moore,Cardiff, 28, FW,,,40(2),3421,20,1,4,-,2.5,50.6,10.5,12,7.56
Krystian Bielik,Derby, 23, D(C),DMC,,13,1093,2,-,4,-,0.7,82.8,3.7,4,7.53
Joe Rodon,Swansea, 23, D(C),,,4,360,-,-,-,-,-,80.9,5.3,1,7.46
Ivan Toney,Brentford, 25, FW,,,47(1),4132,33,10,8,1,3,64.1,3.4,10,7.41
Michal Helik,Barnsley, 25, D(C),,,45,3932,5,1,5,1,0.6,52.3,6.2,7,7.23
Alfie Mawson,Bristol City, 27, D(C),,,11,958,-,1,2,-,0.5,78.3,4.8,-,7.22
Connor Taylor,Stoke, 0, Defender,,,0(1),73,-,-,-,-,2,80,6,-,7.21
Arnaut Danjuma Groeneveld,Bournemouth, 24, AM(L),FW,,31(4),2684,17,7,1,-,2.1,77.6,0.2,6,7.21
Grant Hanley,Norwich, 29, D(C),,,42,3780,1,-,3,-,0.6,89.1,4.3,3,7.19
Jordy de Wijs,QPR, 26, D(C),,,9,649,1,-,1,-,0.7,85.1,3.7,-,7.18
Robert Dickie,QPR, 25, D(C),,,43,3806,3,1,9,1,0.5,78.3,4.9,7,7.17
Mads Andersen,Barnsley, 23, D(C),,,48,4298,1,5,8,1,0.5,55.3,6.7,3,7.17
Sean Morrison,Cardiff, 30, D(C),,,37(1),3292,5,2,8,-,0.8,63.1,5.8,3,7.15
Shaun Hutchinson,Millwall, 30, D(C),,,39,3452,1,2,7,-,0.7,70.6,4.8,5,7.15
Adam Armstrong,Blackburn, 24, AM(CLR),FW,,40,3469,28,5,3,-,4.7,75.7,0.4,6,7.15
Todd Cantwell,Norwich, 23, AM(LR),,,30(3),2635,6,6,4,-,2,82.1,0.1,2,7.13
Ismaila Sarr,Watford, 23, AM(LR),FW,,39,3464,13,4,5,-,2.2,78.9,0.6,7,7.13
Ovie Ejaria,Reading, 23, M(CL),,,37(1),3162,3,5,2,-,1.2,85.6,0.8,5,7.12
Ben Cabango,Swansea, 21, D(C),,,31(2),2807,4,2,4,-,0.5,71.6,4.7,3,7.12
Steven Benda,Swansea, 22, GK,,,1,90,-,-,-,-,-,66.7,-,-,7.12
Lewis Wing,Rotherham, 26, M(C),,,18(2),1637,2,2,1,-,1.7,63.7,1.5,3,7.11
André Ayew,Swansea, 31, M(CLR),FW,,44(2),3925,17,4,6,-,2.2,70.7,3,7,7.10
