Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Sean Klaiber,FC Utrecht, 26, D(R),M(CR),,2,180,1,-,-,-,2.5,83.1,1,-,8.04
Dusan Tadic,Ajax, 32, AM(CLR),FW,,31(3),2612,14,17,1,-,2.3,76.4,0.4,7,7.87
Sébastien Haller,Ajax, 26, FW,,,18(1),1570,11,5,2,-,2.8,72.9,4,5,7.69
Steven Berghuis,Feyenoord, 29, AM(CR),FW,,30(1),2646,18,12,3,1,3.5,81,0.2,8,7.66
Oussama Tannane,Vitesse, 27, AM(CLR),FW,,29,2415,7,9,7,1,4.3,72.4,0.4,9,7.57
Adam Maher,FC Utrecht, 27, M(CR),,,25,2181,2,4,5,-,1.4,79.9,1.8,5,7.56
Gregoire Amiot,Fortuna Sittard, 26, D(C),,,0(1),85,-,-,-,-,1,90.6,4,-,7.44
Joey Veerman,SC Heerenveen, 22, M(CL),,,30(1),2705,7,10,3,-,2,75.3,0.7,5,7.40
Donyell Malen,PSV Eindhoven, 22, AM(L),FW,,26(6),2455,19,8,1,-,3.5,79.6,0.3,7,7.40
Teun Koopmeiners,AZ Alkmaar, 23, D(C),DMC,,31,2705,15,5,2,1,1.6,84.7,1.2,6,7.39
Ajdin Hrustic,FC Groningen, 24, M(CLR),,,1,83,-,-,-,-,4,85.7,-,-,7.38
Ibrahim Sangaré,PSV Eindhoven, 23, DMC,,,25(4),2281,1,1,7,-,0.8,85.8,2.2,3,7.36
Georgios Giakoumakis,VVV-Venlo, 26, FW,,,30,2591,26,1,6,-,3.2,63.1,4,5,7.30
Ryan Gravenberch,Ajax, 19, DMC,,,31(1),2618,3,5,3,-,1.5,87.2,1.2,-,7.29
Mario Götze,PSV Eindhoven, 28, M(CLR),FW,,17(1),1411,5,6,-,-,0.8,85.1,0.3,-,7.29
Calvin Stengs,AZ Alkmaar, 22, AM(CR),,,30,2609,7,5,1,1,2.1,78.9,0.3,4,7.28
Jesper Karlsson,AZ Alkmaar, 22, AM(LR),FW,,31(1),2469,11,9,1,-,2.5,79.3,0.3,1,7.28
Vaclav Cerny,Twente, 23, AM(R),,,16,1198,6,6,2,-,2.1,71.8,0.1,2,7.28
Davy Klaassen,Ajax, 28, M(CL),,,27(2),2210,12,3,2,-,1.5,85.1,1,3,7.27
Cody Gakpo,PSV Eindhoven, 22, AM(CL),FW,,22(1),1677,7,3,2,-,2,74.2,1.1,3,7.25
Abdou Harroui,Sparta Rotterdam, 23, DMC,M(R),,32,2775,6,2,1,-,2.3,82.4,1,2,7.24
Gyrano Kerk,FC Utrecht, 25, AM(LR),FW,,33(1),2927,8,4,3,-,2.5,66.8,0.5,6,7.21
Vangelis Pavlidis,Willem II, 22, AM(L),FW,,33(1),2934,12,4,4,-,2.8,66.9,3.9,4,7.21
Marcos Senesi,Feyenoord, 24, D(C),,,32,2880,3,2,4,-,0.5,84.3,2.1,2,7.20
Fredrik Midtsjø,AZ Alkmaar, 27, M(CR),,,31,2727,2,5,2,1,0.6,81.4,0.5,1,7.18
Silvester van der Water,Heracles, 24, AM(R),,,14(4),1205,3,4,-,-,1.7,75.3,0.3,2,7.18
Philipp Max,PSV Eindhoven, 27, D(L),M(L),,29(2),2597,5,8,2,-,1,85.8,0.7,1,7.16
Nicolás Tagliafico,Ajax, 28, D(CL),,,25,2010,1,3,5,1,1.5,82.7,2.1,1,7.16
Jacob Rasmussen,Vitesse, 24, D(C),DMC,,28,2476,2,-,3,-,0.7,85.4,3.8,2,7.16
Jens Toornstra,Feyenoord, 32, AM(CLR),,,30(1),2670,8,2,4,1,1.5,82,0.4,6,7.15
Eran Zahavi,PSV Eindhoven, 33, AM(CL),FW,,24(1),1999,11,3,3,-,3.4,73.9,1.1,3,7.14
Rai Vloet,Heracles, 26, AM(C),FW,,33,2755,16,7,3,-,2.1,78.4,0.7,5,7.14
Olivier Boscagli,PSV Eindhoven, 23, D(CL),DMC,,29(1),2562,2,2,1,-,0.6,83,2.6,-,7.14
Zian Flemming,Fortuna Sittard, 22, AM(C),FW,,33,2952,12,7,5,-,2.8,69.3,1.9,4,7.14
Antony,Ajax, 21, AM(R),,,24(8),1774,9,8,2,-,1.8,80.3,0.3,5,7.13
Denzel Dumfries,PSV Eindhoven, 25, D(R),,,27(3),2469,2,6,6,-,0.8,77.5,2.5,3,7.12
Maximiliano Romero,PSV Eindhoven, 22, FW,,,0(1),1,1,-,-,-,1,-,1,-,7.12
Lennart Thy,Sparta Rotterdam, 29, AM(C),FW,,34,2799,14,3,-,-,2.1,63.2,4.5,3,7.11
Henk Veerman,SC Heerenveen, 30, FW,,,29(2),2637,14,5,3,-,2.9,60.9,3.6,4,7.11
Gabriel Gudmundsson,FC Groningen, 22, D(L),M(LR),,20(3),1646,-,5,1,-,1.2,73,1.4,2,7.11
Myron Boadu,AZ Alkmaar, 20, FW,,,28(3),2530,15,1,1,-,1.5,78.2,1,4,7.10
Sergio Peña,FC Emmen, 25, AM(CL),FW,,32,2803,6,3,3,-,1.7,82.2,0.9,6,7.10
Lisandro Martínez,Ajax, 23, D(CL),DMC,,17(9),1750,3,1,4,-,1.2,88.5,1.6,-,7.10
