Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Guy Mbenza,Cercle Bruges, 21, Forward,,,1,90,2,-,-,-,3,69.2,1,1,7.77
Jéremy Doku,Anderlecht, 19, AM(LR),,,7,608,2,3,1,-,2,84.7,0.3,3,7.63
Paul Onuachu,Genk, 27, FW,,,36(2),3011,33,5,5,-,3,73.1,4,9,7.61
Darren Keet,OH Leuven, 31, Goalkeeper,,,1,90,-,-,-,-,-,74.3,1,-,7.61
Ryota Morioka,Sporting Charleroi, 30, M(C),,,28,2406,2,7,4,-,1.4,78.1,1.4,7,7.57
Louis Verstraete,Waasland-Beveren, 22, M(C),,,5,439,3,-,2,-,1.2,74.3,1,1,7.56
Krépin Diatta,Club Bruges, 22, M(LR),FW,,17(2),1504,9,2,-,-,2.7,72.1,1.1,6,7.50
Theo Bongonda,Genk, 25, AM(LR),,,34(1),2908,16,8,4,1,3,80.6,0.3,7,7.47
Noa Lang,Club Bruges, 21, AM(LR),FW,,26(3),2200,16,7,6,1,2.9,79.1,0.1,5,7.31
Junya Ito,Genk, 28, AM(LR),,,37(1),3233,11,14,3,1,2.1,77.2,0.2,3,7.29
Dieumerci Mbokani,Royal Antwerp, 35, FW,,,29(3),2625,14,3,7,-,2.5,67.4,5.5,4,7.28
Selim Amallah,Standard Liege, 24, AM(CL),,,21(3),1855,9,3,5,1,2.8,77,1.1,6,7.27
Raphael Holzhauser,Beerschot, 28, M(CL),,,34,2973,16,16,3,-,1.9,72,0.5,4,7.27
Mandela Keita,OH Leuven, 19, Midfielder,,,1,65,-,-,-,-,-,92.3,1,-,7.22
Hans Vanaken,Club Bruges, 28, AM(C),,,34(2),2991,11,7,4,1,1.7,86.1,1.7,4,7.21
Tarik Tissoudali,Beerschot, 28, AM(L),FW,,16(3),1312,8,5,1,-,2.6,66.5,0.5,1,7.21
Ruud Vormer,Club Bruges, 33, DMC,,,36(1),3177,6,11,4,-,1.6,86.3,0.3,2,7.21
Thomas Henry,OH Leuven, 26, FW,,,31,2779,21,5,5,1,2.5,68.3,3.3,4,7.20
Rafael Romo,OH Leuven, 31, GK,,,28(1),2521,-,-,1,-,-,71.1,0.1,4,7.19
Xavier Mercier,OH Leuven, 31, AM(CL),FW,,34,2949,9,16,1,-,1.8,70.5,0.1,3,7.19
Roman Yaremchuk,Gent, 25, FW,,,28,2385,17,6,4,1,3,80.2,1.1,5,7.19
Maxime Busi,Sporting Charleroi, 21, D(R),,,7,630,-,1,3,-,0.4,82.1,0.9,-,7.18
Bryan Heynen,Genk, 24, DMC,,,27(2),2373,2,5,6,-,0.8,85,1.7,1,7.18
Joris Kayembe,Sporting Charleroi, 26, D(L),,,34,3014,1,4,3,-,0.3,76.9,0.9,4,7.18
Joachim van Damme,KV Mechelen, 29, DMC,,,23,2037,3,-,8,-,1.5,76.7,3.6,3,7.17
Joakim Maehle,Genk, 24, D(R),M(R),,16,1440,1,4,1,-,0.7,78.7,0.8,1,7.17
Vadis Odjidja-Ofoe,Gent, 32, AM(CR),,,13(6),1156,1,7,-,-,1.2,71.8,0.9,1,7.16
Strahinja Pavlovic,Cercle Bruges, 20, D(C),,,11,966,1,-,3,-,1.2,72.6,2.4,2,7.15
Alessio Castro-Montes,Gent, 24, D(R),M(R),,31,2637,6,-,4,-,0.8,78.6,1.1,-,7.13
Hugo Siquet,Standard Liege, 18, D(R),,,14(2),1198,-,5,2,-,0.6,73.9,1.2,1,7.13
Robin Himmelmann,Eupen, 32, GK,,,1,90,-,-,-,-,-,57.7,-,-,7.12
Lior Refaelov,Royal Antwerp, 35, AM(CLR),FW,,32(1),2582,9,8,2,-,2.2,83.5,0.2,5,7.10
Zinho Vanheusden,Standard Liege, 21, D(C),,,8,652,-,-,1,-,0.5,83,2,-,7.10
Faiz Selemani,Kortrijk, 27, AM(CL),FW,,23(7),2164,8,7,3,1,2.1,70.5,0.6,6,7.10
Michael Frey,Waasland-Beveren, 26, FW,,,27,2411,12,3,4,-,2.2,70.9,3.6,2,7.09
Julien de Sart,Kortrijk, 26, DMC,,,23(1),1945,1,2,5,-,1.8,75.4,2.2,1,7.09
Moussa Sissako,Standard Liege, 20, D(C),,,5(1),451,-,-,1,-,0.3,82.8,1.7,-,7.08
Albert Sambi Lokonga,Anderlecht, 21, DMC,,,33,2917,3,2,3,1,1.2,85.8,1.2,1,7.08
Konstantinos Laifis,Standard Liege, 28, D(C),,,21(4),1981,1,1,5,-,1.3,81.7,2.9,3,7.08
Daniel Muñoz,Genk, 25, D(CR),DMC,,37(3),3336,-,5,4,-,0.6,84.2,1.4,-,7.07
Yuma Suzuki,St.Truiden, 25, FW,,,34,2859,17,3,3,-,2,69.7,2.9,4,7.07
Abdoulaye Seck,Royal Antwerp, 28, D(C),,,37,3260,4,2,6,1,0.8,79.4,4.1,3,7.06
Ognjen Vranjes,Anderlecht, 31, D(CR),,,4,360,-,-,1,-,0.5,81.3,3.5,-,7.06
Gianni Bruno,Zulte Waregem, 29, AM(LR),FW,,33(1),2932,20,4,2,-,3.2,77.2,0.6,2,7.06
Lukas Nmecha,Anderlecht, 22, AM(R),FW,,36(1),3140,18,3,4,-,2.8,72,1.1,3,7.06
Nuno da Costa,Royal Excel Mouscron, 30, AM(LR),FW,,24(1),2109,6,-,5,-,2.4,56.8,3.9,6,7.05
Junior Pius,St.Truiden, 25, D(C),,,4,307,-,-,-,-,0.3,84.3,1.5,1,7.05
Laurent Henkinet,Standard Liege, 28, Goalkeeper,,,1,90,-,-,-,-,-,62.1,1,-,7.04
Yevhenii Makarenko,Kortrijk, 30, D(L),DMC,,24(4),2246,3,-,4,-,0.9,82.8,2,2,7.03
Charles De Ketelaere,Club Bruges, 20, M(CL),FW,,26(11),2503,4,6,-,-,1.3,72.4,1,2,7.03
Sebastien Bruzzese,Cercle Bruges, 32, GK,,,1,90,-,-,-,-,-,57.9,2,-,7.03
Bas Dost,Club Bruges, 32, FW,,,17(2),1348,9,3,-,-,1.8,70.9,2.1,2,7.03
Andrew Hjulsager,Oostende, 26, AM(CR),,,31(1),2716,3,10,5,-,2.5,70.7,0.7,5,7.03
Clinton Mata,Club Bruges, 28, D(CR),,,36(3),3247,1,2,6,-,0.3,79.1,1.2,3,7.02
Maxime D'Arpino,Oostende, 24, M(C),,,33,2880,1,3,6,-,0.8,75.6,0.7,1,7.02
Rob Schoofs,KV Mechelen, 27, DMC,,,32(2),2766,4,7,4,-,2,81.7,1,-,7.02
Nicolas Gavory,Standard Liege, 26, D(L),DMC,M(L),30(1),2632,1,6,2,1,0.5,78.2,1,-,7.01
Alexis Gamboa,Waasland-Beveren, 22, D(C),,,7(1),665,-,-,1,-,0.1,83.7,2.5,1,7.01
