Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Lionel Messi,Barcelona, 33, AM(CR),FW,,33(2),3023,30,9,4,-,5.6,85.1,0.2,22,8.52
Ángel Jiménez,Granada, 18, Goalkeeper,,,1,90,-,-,-,-,-,45.2,1,-,8.24
Gerard Moreno,Villarreal, 29, AM(CR),FW,,30(3),2683,23,7,3,-,2.9,69.7,1.9,12,7.62
Karim Benzema,Real Madrid, 33, FW,,,33(1),2902,23,9,2,-,3.6,84.6,0.8,8,7.57
Ansu Fati,Barcelona, 18, AM(L),,,6(1),437,4,-,1,-,2,83.8,0.3,2,7.38
Casemiro,Real Madrid, 29, DMC,,,32(2),2903,6,4,9,1,1.4,83.9,3,4,7.36
Iago Aspas,Celta Vigo, 33, AM(CR),FW,,33,2871,14,13,9,-,1.5,78.8,0.5,8,7.32
Marcos Llorente,Atletico, 26, M(CR),FW,,33(4),2960,12,11,6,-,1.3,84.6,0.6,4,7.26
Mikel Merino,Real Sociedad, 24, M(C),,,25(1),2157,2,4,5,-,1.3,76.7,3.2,4,7.24
Toni Kroos,Real Madrid, 31, M(C),,,24(4),2122,3,10,6,-,1.2,93.6,0.4,3,7.22
Joselu,Deportivo Alaves, 31, FW,,,34(3),3038,11,3,1,-,2.5,58.6,6.9,5,7.22
Kieran Trippier,Atletico, 30, D(R),M(R),,28,2477,-,6,-,-,0.1,79.4,1.5,2,7.20
Lucas Vázquez,Real Madrid, 29, D(R),M(R),,21(3),1851,2,5,3,-,0.9,87.7,0.4,2,7.20
Geoffrey Kondogbia,Valencia, 28, DMC,,,5,441,-,-,1,-,0.8,85.6,1.4,1,7.19
Diego Llorente,Real Sociedad, 27, D(C),DMC,,1,90,-,-,-,-,-,82.8,3,-,7.18
Antoine Griezmann,Barcelona, 30, AM(CLR),FW,,32(4),2621,13,7,4,-,2,87.3,0.5,4,7.17
Javi Galán,SD Huesca, 26, D(L),M(L),,34(3),3068,1,2,5,-,0.2,80.2,0.4,5,7.16
Yannick Carrasco,Atletico, 27, M(CLR),FW,,25(5),2189,6,10,6,-,1.4,80.7,0.1,4,7.16
Luis Suárez,Atletico, 34, AM(CLR),FW,,30(2),2521,21,3,6,-,3.3,71.8,0.8,4,7.16
Luka Modric,Real Madrid, 35, M(C),,,32(3),2744,5,3,4,-,1.3,88.1,0.5,5,7.15
Frenkie de Jong,Barcelona, 24, D(C),DMC,,35(2),3159,3,4,5,-,0.5,91.9,1.1,2,7.13
Nabil Fekir,Real Betis, 27, AM(CLR),FW,,33,2637,5,5,5,1,2.6,85.3,0.8,6,7.12
José Campaña,Levante, 28, M(CLR),,,8(1),747,1,2,1,-,1.4,82.5,0.4,3,7.12
Daniel Parejo,Villarreal, 32, M(C),,,36,3120,3,4,5,-,0.8,90.2,0.7,1,7.10
Thomas Partey,Atletico, 27, D(R),M(CR),,2(1),199,-,-,1,-,1.7,89.1,0.7,1,7.09
Jony Álamo,Elche, 19, Forward,,,1,74,-,-,-,-,1,87.5,-,-,7.09
Carlos Soler,Valencia, 24, M(CLR),,,31(1),2737,11,8,7,-,1.2,85.8,0.6,4,7.05
Mikel Oyarzabal,Real Sociedad, 24, AM(CLR),FW,,30(3),2432,11,8,1,-,1.9,76.7,0.6,2,7.05
