Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Sam Walker,Blackpool, 29, GK,,,2,180,-,-,-,-,-,51.9,-,1,7.72
Vadaine Oliver,Gillingham, 29, FW,,,39(4),3432,17,6,5,-,2.6,51.4,10.2,10,7.47
Robert Atkinson,Oxford, 22, D(C),,,41,3610,2,-,1,1,0.9,78.6,6.5,2,7.43
Jayden Stockley,Charlton, 27, FW,,,20(2),1731,8,2,2,-,2,52.7,9.8,5,7.41
Aiden McGeady,Sunderland, 35, M(CLR),,,30(1),2524,4,16,4,-,2.2,80.4,0.5,6,7.39
Jonson Clarke-Harris,Peterborough, 26, FW,,,45,3906,31,3,4,-,2.9,55.1,4.9,10,7.36
Charlie Wyke,Sunderland, 28, FW,,,42(3),3681,26,3,3,-,2.4,66.1,4.8,8,7.35
Siriki Dembélé,Peterborough, 24, AM(CL),FW,,38(4),3386,11,10,7,-,1.8,77,0.1,4,7.32
Jorge Grant,Lincoln City, 26, M(CL),,,38(1),3402,13,9,10,-,1.8,78.2,0.6,5,7.29
Josef Bursik,Lincoln City, 20, GK,,,1,90,-,-,-,-,-,62.1,1,-,7.29
Benjamin Whiteman,Doncaster, 24, DMC,,,18,1620,5,4,3,-,2.3,84.3,0.6,1,7.26
George Honeyman,Hull, 26, M(CLR),,,42,3585,4,13,12,-,0.7,78.4,0.4,7,7.26
Thomas Hamer,Burton, 21, D(CLR),,,20(1),1828,3,2,-,-,0.9,59,5.4,2,7.24
Cameron Burgess,Accrington, 25, D(CL),,,42(2),3864,3,3,9,1,0.7,55.2,6.8,7,7.22
Mark McGuinness,Ipswich, 20, D(C),,,23(1),2089,1,-,2,-,0.6,81,6.2,3,7.21
Danny Ballard,Blackpool, 21, D(C),,,27(1),2458,2,1,4,1,0.5,73.3,5.4,3,7.21
Brandon Fleming,Hull, 21, D(L),,,3,264,-,-,-,-,0.3,66.7,1,-,7.20
Joe Pigott,AFC Wimbledon, 27, FW,,,45,3871,20,5,5,-,3.5,57.7,4.9,7,7.20
Callum Elder,Hull, 26, D(L),,,43(1),3820,1,9,6,-,0.3,72.2,2.8,3,7.19
Jake Forster-Caskey,Charlton, 27, M(C),,,32(2),2681,6,2,7,-,1.3,76.4,1.4,2,7.19
Morgan Rogers,Lincoln City, 18, AM(L),,,26(2),2334,6,2,2,-,1.9,71.2,1,2,7.17
Nathan Baxter,Accrington, 22, GK,,,16,1387,-,1,-,-,-,60.9,0.4,2,7.16
Ryan Inniss,Charlton, 25, D(C),,,12(1),1065,1,-,2,1,1.1,74.1,5.6,4,7.16
Joe Ward,Peterborough, 25, M(CR),,,35(2),2998,5,13,1,-,1.2,76.9,0.6,4,7.16
Lee Evans,Wigan, 26, M(C),,,21,1889,2,2,2,-,2,81.2,1.6,2,7.16
Alfie Doughty,Charlton, 21, D(L),M(L),,7,606,1,1,1,-,0.7,66.3,1.9,1,7.15
Josh Ruffels,Oxford, 27, D(L),,,44,3864,6,6,1,-,1.3,63.7,4.2,5,7.13
Mallik Wilks,Hull, 22, AM(LR),FW,,42(2),3675,19,8,7,-,3.2,65.4,1.9,9,7.11
Scott Fraser,Milton Keynes Dons, 26, AM(C),,,41(3),3592,14,6,2,-,2.1,83.5,0.4,7,7.11
Robbie Cundy,Gillingham, 24, D(C),,,18,1620,1,1,2,-,1.3,48.4,7.6,1,7.11
