Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Jökull Andrésson,Morecambe, 19, GK,,,2,180,-,-,-,-,-,16.4,-,1,8.09
James Vaughan,Tranmere, 32, FW,,,28(3),2549,19,3,11,-,2.9,48.7,7.8,11,7.42
Scott Twine,Newport, 21, AM(C),,,18(1),1551,6,7,1,-,3.6,82,0.3,4,7.33
Callum Guy,Carlisle, 24, DMC,,,44,3892,-,14,8,-,0.9,62,1.7,3,7.30
William Boyle,Cheltenham, 25, D(C),,,29,2610,6,2,5,-,1.7,67.1,6.3,6,7.24
Tom Conlon,Port Vale, 25, M(C),,,41(1),3677,10,8,5,-,1.9,70.2,1.7,6,7.23
Paudie O'Connor,Bradford, 23, D(C),,,41(1),3715,2,2,12,1,0.6,65.9,6.2,5,7.22
Mickey Demetriou,Newport, 31, D(C),,,48,4379,4,-,3,1,0.6,63.8,7.1,5,7.20
Jordan Tunnicliffe,Crawley, 27, D(C),,,39,3460,3,-,4,-,0.4,57.8,7.5,7,7.19
Emmanuel Adebowale,Crawley, 23, Defender,,,1,90,-,-,-,-,-,42.3,7,-,7.18
Wes Hoolahan,Cambridge U, 39, AM(CLR),,,30(4),2728,7,9,2,-,1,75.9,0.1,5,7.16
Antoni Sarcevic,Bolton, 29, AM(C),,,29(3),2542,7,5,5,-,1.6,70.2,1.8,4,7.15
Carl Piergianni,Oldham, 29, D(C),,,37(2),3376,5,-,10,-,0.8,70.7,5.5,6,7.14
Ricardo Santos,Bolton, 25, D(C),,,46,4170,-,1,5,-,0.3,78.2,4.8,9,7.14
Joshua Kayode,Carlisle, 21, AM(R),FW,,32(3),2875,8,3,1,-,1.8,51.7,7.1,3,7.14
Anthony O'Connor,Bradford, 28, D(CR),,,45,4022,2,1,6,1,0.5,74.3,5,7,7.13
Terence Vancooten,Stevenage, 23, D(CR),,,29,2590,-,1,5,-,0.2,61.9,4.6,1,7.12
Max Watters,Crawley, 22, FW,,,12(3),1031,13,-,2,-,2.3,62.5,1.6,4,7.12
Conor Wilkinson,Leyton Orient, 26, AM(R),FW,,40(2),3376,12,2,7,-,2.7,68.2,3.7,5,7.11
George Thomson,Harrogate, 29, M(CR),,,47,4171,3,10,3,-,2.1,69.3,1.6,4,7.11
David Worrall,Port Vale, 30, AM(CLR),,,35(2),3091,5,10,3,-,1.1,55.6,2,5,7.09
Di'Shon Bernard,Salford City, 20, D(CR),,,27(3),2433,2,2,1,1,0.4,69.4,4.5,3,7.09
Jamille Matt,Forest Green, 31, FW,,,34(5),3079,18,3,5,-,1.8,58,5.8,6,7.07
Jordan Turnbull,Salford City, 26, D(C),DMC,,35(7),3237,1,1,8,-,0.4,69.4,6.1,4,7.07
Peter Clarke,Tranmere, 39, D(C),,,48,4350,4,2,6,-,1.1,68.6,5.7,5,7.06
Yann Songo'o,Morecambe, 29, D(C),DMC,,37(4),3314,6,2,10,1,1,58,5.4,3,7.06
Alex Baptiste,Bolton, 35, D(CLR),,,38(2),3364,-,2,2,-,0.4,78.2,4.5,4,7.06
Emmanuel Onariase,Scunthorpe, 24, D(C),,,23(3),2158,2,-,1,-,0.7,62,4.3,3,7.06
Aaron Hayden,Carlisle, 24, D(CR),,,43(2),3804,5,2,7,1,1.1,55.4,5.6,3,7.06
Aaron Martin,Harrogate, 29, FW,,,28(9),2415,5,6,3,-,2.1,43.4,9.3,4,7.05
Tom Pett,Stevenage, 29, AM(C),,,29(2),2617,2,1,3,-,0.7,69,1,3,7.04
Peter Kioso,Bolton, 21, D(R),M(R),,13,1166,3,1,-,1,1.1,67,4.5,-,7.04
Shaun Brisley,Port Vale, 31, D(C),,,19(5),1757,1,1,8,-,0.5,55.9,7,3,7.04
Tom Davies,Barrow, 29, D(C),,,12,1059,1,-,2,-,0.4,62.6,3.9,2,7.03
Oladapo Afolayan,Bolton, 23, AM(L),,,19(2),1444,1,2,1,-,2.2,73.4,1.2,2,7.03
Matt Jay,Exeter, 25, AM(C),FW,,43(1),3567,18,7,1,-,2.4,72.4,0.5,4,7.03
George Lapslie,Mansfield, 23, AM(C),,,27(2),2322,8,3,5,1,1.3,74.8,1.5,2,7.03
Brandon Cooper,Newport, 21, D(C),,,18(1),1665,1,-,4,-,1.4,71.5,5.1,3,7.02
