Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
André Ferreira,Santa Clara, 25, GK,,,1,90,-,-,-,-,-,62.5,2,1,8.21
Alex Telles,Porto, 28, D(L),M(L),,3,259,2,2,-,-,3,79.1,2,1,7.81
Pote,Sporting, 22, M(C),,,32,2735,23,3,4,1,2.5,75.9,0.4,7,7.49
Otávio,Porto, 26, AM(CLR),FW,,24(2),2128,3,8,2,-,1.4,80.6,0.7,2,7.40
Nanu,Maritimo, 27, D(R),M(LR),,3,270,1,-,-,-,1.7,74.3,1.3,-,7.34
Rafa,Benfica, 28, AM(CLR),FW,,27(2),2192,5,5,3,-,1.2,81.1,0.4,4,7.33
Iuri Medeiros,Braga, 26, AM(CR),FW,,11(4),956,5,2,2,-,1.7,79.9,0.5,1,7.28
Sebastián Coates,Sporting, 30, D(C),,,33,2970,5,-,7,-,1.3,83.6,3.3,3,7.26
Mehdi Taremi,Porto, 28, FW,,,26(8),2227,16,11,1,1,2.4,72.1,1.7,6,7.25
Nuno Mendes,Sporting, 18, M(L),,,29,2401,1,1,4,-,0.6,79.3,1.2,5,7.24
Thiago Santana,Santa Clara, 28, FW,,,9,762,7,-,3,-,3.1,65.3,2.6,1,7.24
João Palhinha,Sporting, 25, DMC,,,28(4),2504,1,-,7,-,1.2,83.4,3,9,7.22
Sérgio Oliveira,Porto, 29, DMC,,,28(4),2388,13,5,5,-,1.8,81.1,0.5,5,7.21
Carlos Junior,Santa Clara, 25, AM(LR),FW,,31(1),2753,14,4,8,-,2.6,68.8,2.2,7,7.20
Haris Seferovic,Benfica, 29, AM(LR),FW,,24(7),2266,22,7,2,-,3,67.4,2.1,3,7.20
Ryan Gauld,Farense, 25, AM(CL),,,33,2869,9,7,8,-,2.4,68.1,0.7,6,7.19
Everton,Benfica, 25, AM(CLR),FW,,24(8),1980,7,8,2,-,1.5,83.7,0.8,6,7.19
Alejandro Grimaldo,Benfica, 25, D(L),M(L),,27(4),2468,2,9,4,-,0.5,84,0.8,2,7.18
Pedro Porro,Sporting, 21, D(R),M(R),,30,2509,3,3,4,-,1.5,71.7,0.4,2,7.17
Lucas Verissimo,Benfica, 25, D(CR),,,14,1136,2,-,4,-,0.4,85.1,2.9,-,7.15
André Almeida,Benfica, 30, D(LR),DMC,,4,283,-,1,2,-,0.3,86.2,1.8,-,7.13
Ivo Rodrigues,Famalicao, 26, AM(LR),,,12(2),1043,6,2,4,-,1.4,76,0.7,4,7.12
Wendel,Sporting, 23, M(C),,,1,90,-,-,1,-,-,96.7,-,-,7.12
Paulinho,Braga, 28, FW,,,12,1061,3,4,1,-,2.9,70.6,2,-,7.08
Jesús Corona,Porto, 28, D(R),M(CLR),FW,27(3),2235,2,7,4,1,0.9,78.4,0.7,2,7.07
