Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Neymar,PSG, 29, AM(CLR),FW,,15(3),1417,9,5,5,2,3.9,79.6,0.3,5,7.69
Kylian Mbappé,PSG, 22, AM(LR),FW,,27(4),2389,27,7,5,-,3.4,80.7,0.2,6,7.68
Andy Delort,Montpellier, 29, AM(R),FW,,30,2494,15,9,4,-,3,62.5,4.7,6,7.60
Memphis Depay,Lyon, 27, AM(CL),FW,,33(4),2932,20,12,4,-,3,76.1,0.4,9,7.56
Baptiste Santamaría,Angers, 26, DMC,,,3,270,-,-,1,-,1.3,86.1,2.3,-,7.38
Yvann Maçon,Saint-Etienne, 22, D(L),,,6,540,1,1,2,-,0.3,73.3,1.8,1,7.33
Ángel Di María,PSG, 33, M(CLR),FW,,23(4),1863,4,9,1,-,2.2,81.2,-,5,7.33
Karl Toko Ekambi,Lyon, 28, AM(LR),FW,,34(1),2830,14,6,3,-,2.6,80.3,1,6,7.32
Benjamin André,Lille, 30, D(R),M(CLR),,35,2903,-,1,10,-,0.5,84.1,2.7,6,7.27
Téji Savanier,Montpellier, 29, M(C),,,26(1),2175,5,5,6,1,2.1,74.4,0.7,6,7.26
Gaetan Laborde,Montpellier, 27, AM(CLR),FW,,38,3270,16,8,3,-,2.6,67,3.6,4,7.25
Marco Verratti,PSG, 28, M(C),,,16(5),1491,-,2,7,-,0.5,91.7,0.6,2,7.24
Fabien Centonze,Metz, 25, D(R),M(R),,36,3222,1,-,9,-,0.7,79.5,1.6,1,7.23
Ludovic Ajorque,Strasbourg, 27, FW,,,34(1),2972,16,4,5,-,2,68.3,4.7,4,7.22
Farid Boulaya,Metz, 28, AM(CR),FW,,32(1),2822,6,8,5,-,2.4,74.4,0.9,3,7.22
Lucas Paquetá,Lyon, 23, AM(C),FW,,27(3),2285,9,5,4,1,1.8,81,1.3,1,7.22
Zinedine Ferhat,Nimes, 28, AM(LR),,,33,2960,6,10,3,-,1.9,71,2.2,8,7.21
Frédéric Guilbert,Strasbourg, 26, D(CLR),M(R),,13,1116,1,4,2,1,1.2,73.1,1.2,1,7.20
Romain Faivre,Brest, 22, AM(LR),,,33(3),2902,6,5,-,-,1.8,84.8,0.4,5,7.18
Aleksandr Golovin,Monaco, 25, M(CLR),,,12(9),1072,5,9,2,-,1.3,76.5,0.5,3,7.16
Steve Mounie,Brest, 26, FW,,,31(4),2696,9,4,6,-,2.3,58,7.4,2,7.16
Aurelien Tchouameni,Monaco, 21, DMC,,,36,3073,2,3,7,1,1.5,82.8,2.4,8,7.16
Raphinha,Rennes, 24, AM(LR),,,5(1),407,1,2,-,-,1.8,68.9,1,1,7.15
Marçal,Lyon, 32, D(CL),,,1,79,-,-,-,-,-,84.1,7,-,7.14
Burak Yilmaz,Lille, 35, AM(L),FW,,23(5),2057,16,5,6,-,2.4,77.6,1.4,3,7.14
Angelo Fulgini,Angers, 24, AM(CLR),,,33,2739,7,4,4,-,2,83.2,0.7,4,7.13
Amine Gouiri,Nice, 21, AM(L),FW,,31(3),2753,12,7,5,-,2.4,79.6,0.6,5,7.13
Kiki Kouyate,Metz, 24, D(C),,,21(4),1961,1,-,10,-,0.5,80.8,4,3,7.10
Romain Philippoteaux,Nimes, 33, AM(LR),,,3,216,1,1,-,-,0.7,68.8,-,1,7.09
Dimitry Bertaud,Montpellier, 22, GK,,,7(2),744,-,-,-,-,-,64.3,0.7,1,7.09
Jéremy Doku,Rennes, 19, AM(LR),,,26(4),2318,2,3,1,1,1.2,83.4,0.3,3,7.07
Wesley Fofana,Saint-Etienne, 20, D(C),,,3(1),315,-,-,1,-,0.3,83,2,-,7.07
Jonathan Bamba,Lille, 25, AM(CLR),FW,,34(4),2993,6,9,2,-,1.6,82.6,0.4,3,7.07
Yohann Pelé,Marseille, 38, GK,,,1,90,-,-,-,-,-,93.8,-,-,7.06
Arkadiusz Milik,Marseille, 27, AM(C),FW,,14(1),1224,9,1,2,-,3.1,75.9,1.8,2,7.06
Kevin Volland,Monaco, 28, AM(CLR),FW,,34(1),2789,16,7,4,-,1.6,67.8,1.6,2,7.06
Wissam Ben Yedder,Monaco, 30, AM(C),FW,,32(5),2626,20,7,3,-,2.2,74.2,1.1,4,7.06
Ludovic Blas,Nantes, 23, M(CLR),FW,,32(4),2805,10,4,5,-,2,80.7,0.4,6,7.06
José Fonte,Lille, 37, D(C),,,36,3190,3,-,7,-,0.8,90.4,2.2,-,7.05
Reinildo,Lille, 27, D(L),M(L),,24(5),2183,-,-,2,1,0.1,81.3,1.9,3,7.05
Marquinhos,PSG, 27, D(CR),DMC,,24(1),2129,3,1,2,-,0.6,93,2,-,7.05
Pape Abou Cissé,Saint-Etienne, 25, D(C),,,14,1260,-,-,1,-,0.9,76.7,3.9,1,7.03
Rafinha,PSG, 28, M(CLR),,,15(8),1368,-,4,2,-,1,90.9,0.3,2,7.02
Mahdi Camara,Saint-Etienne, 22, DMC,,,37,3295,3,2,4,-,0.6,86.4,1.3,2,7.01
Léo Dubois,Lyon, 26, D(LR),M(R),,35(2),2917,2,4,3,-,0.5,83,1,2,7.00
Mehmet Zeki Çelik,Lille, 24, D(R),,,28(1),2389,3,2,8,-,0.5,78.6,0.9,3,7.00
Sven Botman,Lille, 21, D(C),,,37,3311,-,-,3,-,0.4,86.5,3.2,1,6.99
Florian Thauvin,Marseille, 28, M(CLR),FW,,33(3),2749,8,8,5,-,2,79.1,0.3,4,6.98
Mathieu Debuchy,Saint-Etienne, 35, D(CR),M(R),,25(1),2108,2,1,5,-,1,72.6,2.7,1,6.97
Marcelo,Lyon, 34, D(C),,,34,2912,3,-,5,2,0.7,88.2,3.3,-,6.97
Alfred Gomis,Dijon, 27, GK,,,5,450,-,-,-,-,-,59.6,0.2,-,6.96
Massadio Haidara,Lens, 28, D(CL),M(L),,24(1),2136,2,1,6,-,0.5,82.2,1.7,2,6.96
Moise Kean,PSG, 21, FW,,,22(4),1709,13,-,4,-,2,78.8,0.5,-,6.95
Sofiane Diop,Monaco, 20, AM(CLR),,,24(8),2036,7,1,4,-,1.4,80.6,0.6,-,6.95
Loic Bade,Lens, 21, D(C),,,29(2),2610,-,-,9,1,0.4,85.5,3.6,3,6.95
Tinotenda Kadewere,Lyon, 25, AM(R),FW,,24(9),2022,10,3,4,-,1.8,75.2,1,5,6.94
Nayef Aguerd,Rennes, 25, D(C),,,35,3148,3,1,6,-,0.8,90.4,3.5,2,6.94
Boubacar Kamara,Marseille, 21, D(CL),DMC,,35,2905,-,2,6,-,0.5,86.7,1.9,2,6.94
Valentin Rongier,Marseille, 26, M(C),,,21(5),1895,1,2,8,-,0.7,86.3,1,2,6.93
Vincent Pajot,Metz, 30, M(C),,,11(1),918,-,-,3,-,0.5,88.8,1,1,6.93
Laurent Koscielny,Bordeaux, 35, D(C),,,25(1),2218,-,2,3,-,0.2,90.1,2.1,1,6.92
Brendan Chardonnet,Brest, 26, D(C),,,30(3),2714,3,1,3,1,0.6,82.6,2.4,2,6.92
Dimitri Payet,Marseille, 34, M(CLR),FW,,28(5),2429,7,10,4,2,1.4,78.9,0.1,3,6.92
Serhou Guirassy,Rennes, 25, AM(L),FW,,19(8),1766,10,1,3,-,1.9,76.1,2.6,2,6.91
Lilian Brassier,Brest, 21, D(C),,,11,963,1,1,3,-,0.5,82.5,3,1,6.91
Randal Kolo Muani,Nantes, 22, FW,,,35(2),3042,9,4,3,-,1.6,67.3,2.1,6,6.91
Pol Lirola,Marseille, 23, D(R),M(LR),,17(2),1554,2,2,3,-,0.5,78.3,0.9,1,6.90
Keylor Navas,PSG, 34, GK,,,29,2522,-,-,-,-,-,85.6,0.1,2,6.90
Jeff Reine-Adélaïde,Lyon, 23, AM(CLR),FW,,0(1),24,-,-,-,-,1,83.3,-,-,6.90
Jeff Reine-Adélaïde,Nice, 23, AM(CLR),FW,,12(2),1059,1,2,1,-,1.1,86.3,0.3,1,6.90
Yunis Abdelhamid,Reims, 33, D(C),,,33,2890,3,-,4,1,0.5,85.7,2.8,2,6.89
Hatem Ben Arfa,Bordeaux, 34, M(CR),FW,,19(5),1708,2,4,2,-,1.4,85.6,0.2,3,6.89
Habib Maïga,Metz, 25, DMC,,,31,2698,1,3,9,-,0.8,82.7,1.3,1,6.89
Hamari Traoré,Rennes, 29, D(R),M(R),,34(1),3004,1,1,4,-,0.7,86,1.1,1,6.89
Alexander Djiku,Strasbourg, 26, D(CR),DMC,,29(1),2553,-,-,8,-,0.5,84.5,1.8,1,6.88
Jonathan Clauss,Lens, 28, D(R),M(R),,30(3),2538,3,6,2,-,1,77.2,0.6,5,6.88
Gelson Martins,Monaco, 26, M(LR),,,20(3),1562,3,2,3,-,1.1,85.3,0.4,2,6.88
Martin Terrier,Rennes, 24, AM(CL),FW,,30(4),2454,9,7,3,1,1.4,80.1,1.5,2,6.88
Armand Laurienté,Lorient, 22, AM(R),,,16(13),1618,3,5,4,-,2,83.8,0.4,3,6.88
Cheick Oumar Doucoure,Lens, 21, M(C),,,30(3),2633,2,1,8,-,1.1,86.6,0.8,1,6.87
Yoane Wissa,Lorient, 24, AM(L),FW,,30(8),2685,10,4,2,-,1.5,76.4,1.3,3,6.86
Maxwel Cornet,Lyon, 24, D(L),M(LR),FW,29(7),2457,2,5,5,-,0.6,80.8,1.1,2,6.86
Luiz Araújo,Lille, 25, AM(LR),,,17(11),1502,4,2,5,-,1.8,78,0.4,2,6.86
Benjamin Bourigeaud,Rennes, 27, M(CLR),,,29(8),2559,6,5,8,-,1.7,82.1,0.5,2,6.86
Jordan Amavi,Marseille, 27, D(L),M(L),,10(3),815,1,-,3,1,0.3,76.5,1.8,2,6.85
Idrissa Gueye,PSG, 31, M(C),,,20(8),1587,2,1,3,-,0.7,92.6,0.9,-,6.85
Florian Sotoca,Lens, 30, FW,,,28(5),2422,8,3,7,-,2.2,73.6,2.8,2,6.85
Franck Honorat,Brest, 24, M(LR),,,28(8),2471,8,5,3,-,1.1,72.1,0.6,2,6.85
Ruben Aguilar,Monaco, 28, D(R),M(R),,27(6),2233,1,3,6,-,0.2,85.4,1.5,1,6.85
Romain Perraud,Brest, 23, D(L),,,35(1),3141,3,7,4,-,1.3,79.9,0.8,2,6.84
Gaël Kakuta,Lens, 29, M(CLR),FW,,30(5),2414,11,5,3,-,1.5,76.5,0.6,-,6.84
Hassane Kamara,Nice, 27, D(L),M(L),,34(2),2966,2,1,3,-,0.8,84.7,1,1,6.83
Mauro Icardi,PSG, 28, FW,,,11(9),1074,7,3,1,-,2,79.2,0.8,1,6.83
Houssem Aouar,Lyon, 22, M(CL),,,23(7),1793,7,3,3,1,2.3,86,0.1,-,6.83
Alessandro Florenzi,PSG, 30, D(R),M(CLR),,18(3),1543,2,1,1,-,1,83.7,0.6,-,6.83
Mitchel Bakker,PSG, 20, D(L),,,18(8),1691,-,2,1,-,0.1,90.4,0.9,-,6.83
Jonathan David,Lille, 21, AM(C),FW,,29(8),2368,13,2,-,-,1.5,77.4,0.4,1,6.83
Damien Da Silva,Rennes, 33, D(C),,,30,2664,4,-,7,1,0.8,88,2.5,1,6.83
Dante,Nice, 37, D(C),,,9,775,2,1,2,-,0.8,90.3,2.3,-,6.83
Layvin Kurzawa,PSG, 28, D(L),M(L),,15(4),1282,1,1,4,1,0.6,87.6,1.6,1,6.83
Boulaye Dia,Reims, 24, AM(R),FW,,35(1),2947,14,1,2,-,1.8,80.5,0.9,5,6.83
Yvan Neyou,Saint-Etienne, 24, DMC,,,29(2),2450,1,2,9,-,0.9,86.6,0.8,1,6.82
Sébastien Corchia,Nantes, 30, D(R),M(R),,23(2),2067,-,1,3,-,0.8,72.1,1,1,6.82
Jean-Clair Todibo,Nice, 21, D(C),,,15,1332,1,-,5,-,0.5,87.7,1.7,-,6.82
Ander Herrera,PSG, 31, M(C),,,18(13),1846,1,3,6,-,0.7,91.1,0.3,-,6.82
Jean Eudes Aholou,Strasbourg, 27, DMC,,,26(1),2156,2,2,9,-,1.1,83.1,1.5,1,6.82
Ibrahima Niane,Metz, 22, AM(L),FW,,9(1),669,6,-,-,-,2.3,73.1,2.3,2,6.82
Pape Sarr,Metz, 18, M(C),,,18(4),1594,3,-,5,-,1.4,85.3,1.1,1,6.82
Mike Maignan,Lille, 25, GK,,,38,3420,-,-,1,-,-,67.3,0.3,1,6.82
Denis Bouanga,Saint-Etienne, 26, M(CLR),FW,,30(6),2738,7,4,7,-,2.8,67.3,1.8,3,6.82
Trevoh Chalobah,Lorient, 21, D(CR),DMC,,24(5),2239,2,2,5,-,0.5,84.8,1.5,2,6.82
Youssouf Fofana,Monaco, 22, DMC,,,35,2883,-,3,8,1,1,85.5,0.6,1,6.81
