Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Carles Gil,New England, 28, AM(CR),,,8,720,1,3,-,-,2,80.5,0.3,4,8.05
Nani,Orlando City, 34, M(CLR),FW,,5,430,3,-,1,-,3,76.4,1,4,7.83
Randall Leal,Nashville SC, 24, AM(LR),,,7,599,2,2,-,-,3.1,80.3,1,2,7.69
João Paulo,Seattle, 30, M(C),,,7(1),630,1,3,2,-,0.5,80.2,0.3,1,7.63
Joshua Atencio,Seattle, 19, Midfielder,,,2,180,-,-,-,-,1,74.1,-,-,7.53
Jamiro Monteiro,Philadelphia, 27, M(C),,,8,715,1,3,3,-,1.1,84,0.1,1,7.50
Lucas Zelarayán,Columbus, 28, AM(C),,,6,539,3,-,-,-,2.2,77.2,-,2,7.50
Damir Kreilach,Salt Lake, 32, M(C),FW,,6,540,3,3,1,-,1.7,81.3,3.7,-,7.48
Jesús Medina,New York City FC, 24, AM(CR),FW,,7,630,5,-,1,-,2.9,76.9,0.3,2,7.44
Jonathan Bond,L.A. Galaxy, 28, GK,,,7,630,-,-,-,-,-,75.6,0.1,1,7.44
Valentín Castellanos,New York City FC, 22, AM(R),FW,,7,630,4,2,2,-,4.3,71.8,2,1,7.44
Cristian Cásseres Jr,New York, 21, M(C),,,7,612,3,-,1,-,1.3,70,1.6,2,7.43
Emanuel Reynoso,Minnesota United, 25, AM(CL),,,6,493,1,-,1,-,4,73,0.7,2,7.43
Rubio Rubín,Salt Lake, 25, AM(C),FW,,6,498,4,2,-,-,2.3,82.8,1,1,7.41
Milton Valenzuela,Columbus, 22, D(L),,,1,90,-,-,-,-,-,81.4,2,-,7.41
Jack Price,Colorado, 28, DMC,,,7,604,-,3,2,-,0.3,86.8,0.4,1,7.39
Ilie Sánchez,Kansas City, 30, D(C),DMC,,6,540,1,-,2,-,0.5,86.7,2.8,-,7.38
Cristian Roldan,Seattle, 26, M(CR),,,8,720,1,1,1,-,1.6,80,2.6,1,7.38
Przemyslaw Tyton,FC Cincinnati, 34, GK,,,2,180,-,-,-,-,-,54.2,1,-,7.38
Alex Roldan,Seattle, 24, D(R),M(LR),,8,720,-,2,2,-,0.5,78,0.8,1,7.37
Mason Toye,Montreal, 22, FW,,,2(1),149,3,-,-,-,1.7,83.3,0.7,-,7.36
Eduard Atuesta,Los Angeles FC, 23, DMC,,,7,627,1,-,1,-,2.3,82.3,0.7,2,7.36
Gianluca Busio,Kansas City, 19, M(C),,,8,702,2,1,-,-,2,87.9,0.9,1,7.35
Chicharito,L.A. Galaxy, 33, FW,,,7,614,7,1,1,-,2.6,77.8,0.3,2,7.33
Eryk Williamson,Portland, 23, DMC,,,5(2),492,1,2,-,-,0.4,87.9,0.6,1,7.33
Daniel Lovitz,Nashville SC, 29, D(L),M(L),,7,623,-,1,2,-,0.7,73.5,1.3,1,7.31
Adam Buksa,New England, 24, FW,,,6(2),547,4,-,1,-,3.6,76,5.1,1,7.31
Marcelino Moreno,Atlanta United, 26, AM(CLR),,,7,570,3,-,2,-,2.1,86.3,0.9,1,7.31
Russell Canouse,DC United, 25, D(CR),DMC,,4,360,1,1,1,-,1.3,76.3,2.5,1,7.31
Jack Elliott,Philadelphia, 25, D(C),,,8,720,1,-,1,-,1.4,78.4,3,1,7.27
Diego Rubio,Colorado, 28, AM(C),FW,,7,620,2,1,2,-,2.9,71.7,2.4,2,7.27
Brandon Bye,New England, 25, D(LR),,,7(1),656,1,1,2,-,1.5,72,3.5,1,7.23
Andre Blake,Philadelphia, 30, GK,,,8,720,-,-,1,-,-,51.6,0.5,2,7.23
Yeimar Gómez,Seattle, 28, D(C),,,6(2),569,-,-,1,-,0.6,77.9,2.3,-,7.23
Alan Pulido,Kansas City, 30, FW,,,6(2),587,5,1,-,-,3.8,81.9,0.8,2,7.23
Lucas Cavallini,Vancouver, 28, FW,,,7,630,1,1,3,-,2,68.7,5.3,-,7.21
Julian Araujo,L.A. Galaxy, 19, D(R),M(R),,6,540,-,1,2,-,0.3,77.9,2.2,2,7.21
Xavier Arreaga,Seattle, 26, D(C),,,6(1),536,1,-,4,-,0.4,85,1.7,-,7.20
Kyle Duncan,New York, 23, D(LR),,,6(1),585,-,-,-,-,0.4,72.7,3,1,7.19
Andrew Brody,Salt Lake, 26, Defender,,,4(1),412,-,1,-,-,0.6,82.3,-,-,7.18
Raúl Ruidíaz,Seattle, 30, FW,,,8,720,6,-,1,-,4.3,83.2,0.6,2,7.18
Nouhou Tolo,Seattle, 23, D(CL),,,8,720,-,-,2,-,0.1,83.1,1.3,-,7.18
Logan Ketterer,Portland, 27, Goalkeeper,,,3,270,-,-,-,-,-,66.7,-,-,7.16
Alejandro Bedoya,Philadelphia, 34, M(CR),FW,,8,702,-,-,2,-,1.6,72.1,2.9,-,7.16
Kai Wagner,Philadelphia, 24, D(L),,,7(1),659,-,2,1,-,1,83,1.4,-,7.15
Perry Kitchen,Columbus, 29, DMC,,,1,90,-,-,1,-,-,88.6,2,-,7.14
Graham Zusi,Kansas City, 34, D(R),M(CLR),,3,219,-,-,1,-,0.7,91.1,0.7,-,7.13
Tyler Miller,Minnesota United, 28, GK,,,3,270,-,-,-,-,-,50,0.7,-,7.12
Aaron Long,New York, 28, D(C),,,5,450,-,-,1,-,1,75.4,6.6,-,7.12
Brad Stuver,Austin FC, 30, GK,,,7,630,-,-,-,-,-,78.7,0.4,-,7.11
Michael Barrios,Colorado, 30, AM(LR),FW,,7,528,2,2,1,-,2.9,83.6,-,-,7.11
Kyle Smith,Orlando City, 29, D(LR),,,7,630,-,-,2,-,0.7,81.1,1.6,-,7.09
Bakaye Dibassy,Minnesota United, 31, D(CL),,,1,90,-,-,-,-,1,88.9,3,-,7.09
Walker Zimmerman,Nashville SC, 28, D(C),,,7,630,-,1,1,-,0.6,82.5,3.1,1,7.09
Bill Tuiloma,Portland, 26, D(C),,,4(2),441,1,-,1,-,1,79,2.3,1,7.08
Cristian Dájome,Vancouver, 27, AM(R),FW,,7,594,3,-,-,-,1.7,78.5,0.4,1,7.08
Sebastian Lletget,L.A. Galaxy, 28, M(CLR),,,4,307,1,1,-,-,1.3,89.6,0.5,-,7.07
Bill Hamid,DC United, 30, GK,,,1,90,-,-,-,-,-,25,-,-,7.07
Luciano Acosta,FC Cincinnati, 27, AM(CL),FW,,4,360,1,1,-,-,1.5,77.7,-,-,7.07
Danny Wilson,Colorado, 29, D(C),DMC,,7,630,1,-,1,-,1.1,82.5,2.6,-,7.07
Donovan Pines,DC United, 23, D(C),,,1(1),102,-,-,-,-,0.5,86.8,2,-,7.07
Nicolas Isimat-Mirin,Kansas City, 29, D(C),,,2,153,-,-,1,-,-,80.9,3,-,7.07
Andrew Gutman,New York, 24, D(L),M(L),,4,354,1,-,1,-,0.5,61.7,1.3,-,7.06
Caden Clark,New York, 18, AM(C),,,7,559,4,-,1,-,1.3,73.8,0.3,-,7.05
Rodrigo Schlegel,Orlando City, 24, D(C),,,6,540,-,-,-,-,0.3,87.4,0.8,-,7.05
Jhegson Méndez,Orlando City, 24, DMC,,,7,603,-,-,3,-,0.9,90.6,1,-,7.04
Cristián Gutiérrez,Vancouver, 24, D(L),,,6,540,-,2,1,-,-,84.4,0.3,2,7.03
Kacper Przybylko,Philadelphia, 28, FW,,,6(2),590,3,2,1,-,1.5,65.5,2.9,-,7.02
