Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Harry Kane,Tottenham, 27, AM(C),FW,,35,3087,23,14,1,-,3.9,69.9,2.2,13,7.79
Kevin De Bruyne,Man City, 29, M(CLR),FW,,23(2),2001,6,12,1,-,3.2,81.7,0.2,8,7.65
Jack Grealish,Aston Villa, 25, AM(CL),,,24(2),2184,6,10,6,-,1.9,83.3,1,4,7.56
Bruno Fernandes,Man Utd, 26, M(CLR),,,35(2),3110,18,12,6,-,3.3,78.3,0.4,6,7.43
Tomas Soucek,West Ham, 26, DMC,,,38,3420,10,1,7,1,1.7,75.5,6.2,6,7.36
Mason Mount,Chelsea, 22, M(CLR),,,32(4),2892,6,5,2,-,2.3,86.5,0.6,4,7.33
Sadio Mané,Liverpool, 29, AM(CLR),FW,,31(4),2813,11,7,3,-,2.7,78.7,1,7,7.33
Riyad Mahrez,Man City, 30, AM(CLR),,,23(4),1955,9,6,-,-,2.1,88.4,0.6,4,7.31
João Cancelo,Man City, 27, D(LR),M(R),,27(1),2302,2,3,5,1,1.3,87.1,1.1,2,7.31
Gareth Bale,Tottenham, 31, M(CLR),FW,,10(10),923,11,2,1,-,1.9,73.2,1.2,4,7.30
Nathaniel Phillips,Liverpool, 24, D(C),,,15(2),1456,1,1,2,-,0.9,84.2,5.6,3,7.29
Ilkay Gündogan,Man City, 30, M(C),,,23(5),2031,13,2,1,-,1.9,91.7,0.4,2,7.29
Son Heung-Min,Tottenham, 28, M(CLR),FW,,36(1),3127,17,10,-,-,1.8,83.4,0.5,-,7.27
Wilfred Ndidi,Leicester, 24, DMC,,,25(1),2179,1,4,6,-,0.6,86.9,2.2,1,7.25
Jesse Lingard,West Ham, 28, AM(CLR),FW,,16,1426,9,4,3,-,2.6,83.6,-,2,7.22
Raphinha,Leeds, 24, AM(LR),,,26(4),2364,6,9,3,-,2.2,72.3,0.3,4,7.22
Raheem Sterling,Man City, 26, M(CLR),FW,,28(3),2537,10,7,4,-,2.3,86.2,0.3,4,7.22
James Rodríguez,Everton, 29, AM(CLR),FW,,21(2),1776,6,4,4,-,1.6,83.3,0.3,3,7.21
Ollie Watkins,Aston Villa, 25, AM(LR),FW,,37,3329,14,5,2,1,2.6,71.5,3.7,4,7.18
Kortney Hause,Aston Villa, 25, D(CL),,,7,630,1,-,2,-,0.7,74.6,5.6,-,7.17
Rodri,Man City, 24, DMC,,,31(3),2749,2,2,6,-,0.9,91.3,2.4,1,7.17
Michail Antonio,West Ham, 31, D(R),M(CLR),FW,24(2),1984,10,5,3,-,2.4,68.2,2.8,2,7.17
Dominic Calvert-Lewin,Everton, 24, AM(L),FW,,32(1),2876,16,-,3,-,2.5,68.7,4.7,4,7.17
Jimmy Dunne,Burnley, 23, D(C),,,3,270,1,-,1,-,2.3,68.6,7.7,-,7.16
Aaron Wan-Bissaka,Man Utd, 23, D(R),M(R),,34,3060,2,4,3,-,0.2,84.9,1.1,3,7.15
Phil Foden,Man City, 21, AM(CLR),,,17(11),1614,9,5,-,-,1.6,88.2,0.6,3,7.14
Joseph Willock,Newcastle, 21, M(C),,,11(3),980,8,-,-,-,1.4,77.1,0.8,1,7.13
Marcus Rashford,Man Utd, 23, AM(CLR),FW,,33(4),2928,11,9,4,-,2.1,82.1,0.7,3,7.13
Thiago,Liverpool, 30, M(C),,,20(4),1858,1,-,4,-,0.9,89.6,1.3,2,7.12
Allan Saint-Maximin,Newcastle, 24, AM(CLR),FW,,19(6),1568,3,4,-,-,1.2,82.5,0.3,5,7.12
Gabriel Jesus,Man City, 24, AM(LR),FW,,22(7),2060,9,4,2,-,1.9,85,0.7,1,7.11
Pedro Neto,Wolves, 21, AM(CLR),FW,,30(1),2559,5,6,4,-,2,88.4,0.6,5,7.11
Adama Traoré,Wolves, 25, M(CLR),FW,,28(9),2645,2,2,4,-,1.2,76.3,2,4,7.11
Roberto Firmino,Liverpool, 29, M(CLR),FW,,33(3),2852,9,7,2,-,2.3,80.7,0.6,4,7.11
Jamie Vardy,Leicester, 34, AM(L),FW,,31(3),2846,15,9,1,-,2.4,67.5,1.5,3,7.11
Mat Ryan,Arsenal, 29, GK,,,3,270,-,-,-,-,-,89.4,0.3,-,7.10
Youri Tielemans,Leicester, 24, M(C),,,37(1),3358,6,4,6,-,1.3,81.7,0.9,2,7.09
Lucas Digne,Everton, 27, D(CL),M(L),,30,2682,-,7,2,1,0.4,77.5,3.1,1,7.08
Christian Benteke,Crystal Palace, 30, FW,,,21(9),1819,10,1,1,1,2.4,58.6,6.8,2,7.08
Bernardo Silva,Man City, 26, M(CLR),FW,,24(2),2071,2,6,5,-,1.1,91.8,0.5,3,7.07
Kurt Zouma,Chelsea, 26, D(CR),,,22(2),2025,5,-,3,-,1.1,90.9,3.6,1,7.07
Solly March,Brighton, 26, M(CLR),,,19(2),1675,2,1,-,-,1,76,0.7,2,7.07
James Ward-Prowse,Southampton, 26, M(CR),,,38,3420,8,7,5,-,1.1,86.4,1.2,2,7.07
Mohamed Salah,Liverpool, 28, AM(CLR),FW,,34(3),3082,22,5,-,-,3.4,83.7,0.5,3,7.07
Liam Cooper,Leeds, 29, D(C),,,25,2188,1,-,4,1,0.6,85.6,3.8,2,7.06
Kiko Casilla,Leeds, 34, GK,,,3,270,-,-,-,-,-,87.2,0.7,-,7.06
Serge Aurier,Tottenham, 28, D(CLR),M(R),,19,1609,2,3,-,-,0.8,80.8,1.9,-,7.06
Paul Pogba,Man Utd, 28, M(CL),,,21(5),1896,3,3,3,-,1.2,83,2.1,4,7.06
Harry Maguire,Man Utd, 28, D(C),,,34,3048,2,1,11,-,1.1,87.3,4,4,7.04
John Stones,Man City, 27, D(CR),,,22,1934,4,-,-,1,0.7,93.3,1.7,1,7.03
James Justin,Leicester, 23, D(CLR),M(LR),,23,2070,2,1,4,-,0.4,80.5,1.1,1,7.03
Luke Shaw,Man Utd, 25, D(CL),M(L),,30(2),2657,1,5,8,-,0.3,85,1.2,2,7.03
Patrick Bamford,Leeds, 27, AM(CLR),FW,,37(1),3066,17,7,3,-,2.8,77.3,1.2,3,7.03
Caoimhin Kelleher,Liverpool, 22, GK,,,2,180,-,-,-,-,-,75,-,-,7.03
James Tarkowski,Burnley, 28, D(C),,,36,3240,1,-,6,-,0.6,70.1,4.6,3,7.02
Antonio Rüdiger,Chelsea, 28, D(CR),,,19,1710,1,-,-,-,0.7,89.4,2.2,-,7.02
Trent Alexander-Arnold,Liverpool, 22, D(R),M(R),,34(2),3033,2,7,2,-,1.5,79.4,0.2,2,7.02
Wesley Fofana,Leicester, 20, D(C),,,27(1),2265,-,-,7,-,0.4,86.4,3.3,-,7.01
Declan Rice,West Ham, 22, D(C),DMC,,32,2880,2,1,2,-,0.8,88,1.4,1,7.01
Kalvin Phillips,Leeds, 25, D(C),DMC,,28(1),2431,1,2,10,-,0.5,84.7,1,1,7.01
James Maddison,Leicester, 24, AM(CLR),,,24(7),2105,8,5,4,-,2.4,83.3,0.1,2,7.00
Ben Chilwell,Chelsea, 24, D(L),M(L),,27,2290,3,5,3,-,1,82,1.4,2,7.00
Emiliano Martínez,Aston Villa, 28, GK,,,38,3420,-,-,1,-,-,62.5,0.3,3,7.00
André-Frank Zambo Anguissa,Fulham, 25, DMC,,,29(7),2587,-,3,6,-,0.9,84.2,1.8,4,6.99
Yves Bissouma,Brighton, 24, M(C),,,35(1),3114,1,-,8,1,1.2,87.4,1.1,-,6.98
Richarlison,Everton, 24, AM(CLR),FW,,33(1),2872,7,3,4,1,2.4,70,1.2,4,6.98
Harvey Barnes,Leicester, 23, AM(CL),,,22(3),1950,9,4,-,-,2.2,75.2,1,2,6.98
Alex Telles,Man Utd, 28, D(L),M(L),,8(1),692,-,2,-,-,0.6,84.7,1.9,-,6.97
Okay Yokuslu,West Brom, 27, D(C),DMC,,15(1),1319,-,1,4,-,0.8,82.5,2.6,-,6.96
Jack Harrison,Leeds, 24, AM(LR),,,34(2),2858,8,8,2,-,1.3,74,0.7,4,6.96
Matheus Pereira,West Brom, 25, AM(CLR),,,30(3),2582,11,6,2,1,2,79.6,0.4,2,6.96
Joel Matip,Liverpool, 29, D(C),,,9(1),693,1,2,2,-,0.5,87.7,2.3,1,6.96
Vladimir Coufal,West Ham, 28, D(R),M(R),,34,3055,-,7,3,-,0.4,71.2,1.6,1,6.95
Pierre-Emile Højbjerg,Tottenham, 25, M(C),,,38,3420,2,4,9,-,0.4,88.5,1.2,1,6.95
Luke Ayling,Leeds, 29, D(CR),M(R),,38,3400,-,-,7,-,0.6,79,1.7,-,6.94
Scott Carson,Man City, 35, GK,,,1,90,-,-,-,-,-,90,-,-,6.94
Reece James,Chelsea, 21, D(R),DMC,M(R),25(7),2367,1,2,3,-,1.1,88.4,1.3,1,6.94
Oriol Romeu,Southampton, 29, DMC,,,20(1),1768,1,1,6,-,0.7,82.6,1.5,2,6.93
Matthew Cash,Aston Villa, 23, D(R),M(CLR),,28,2380,-,2,6,1,0.3,75.7,1.3,1,6.93
Scott McTominay,Man Utd, 24, D(C),DMC,,24(8),2128,4,1,3,-,0.8,87,1.5,-,6.93
Ahmed Hegazi,West Brom, 30, D(C),,,1,90,-,-,-,-,-,67.9,5,-,6.93
Ben Mee,Burnley, 31, D(CL),,,30,2694,2,-,3,-,0.7,71.1,3.7,2,6.93
Anthony Elanga,Man Utd, 19, Forward,,,2,156,1,-,-,-,1,75.5,0.5,1,6.93
Fred,Man Utd, 28, M(C),,,27(3),2397,1,-,5,-,0.8,87.7,0.3,-,6.92
Timothy Fosu-Mensah,Man Utd, 23, D(CR),,,1,81,-,-,1,-,1,90.9,1,-,6.92
César Azpilicueta,Chelsea, 31, D(CLR),M(R),,24(2),2191,1,2,5,1,0.4,86.9,2.1,1,6.92
