Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Kyle Lafferty,Kilmarnock, 33, AM(LR),FW,,3(1),311,3,2,2,-,3.3,49.5,9,2,7.99
James Tavernier,Rangers, 29, D(R),,,33,2917,12,9,2,-,1.7,79.7,1.5,7,7.69
Christopher Jullien,Celtic, 28, D(C),,,9,771,1,1,-,-,1.3,85.6,5.1,-,7.46
Ryan Kent,Rangers, 24, AM(LR),,,36(1),3035,10,9,-,-,2.3,88.9,0.3,5,7.43
Joe Aribo,Rangers, 24, AM(CR),,,27(4),2276,7,4,-,-,1.5,84.2,1.4,1,7.37
Borna Barisic,Rangers, 28, D(L),,,33,2837,1,6,4,-,0.7,81.4,1.2,4,7.34
Connor Goldson,Rangers, 28, D(C),,,38,3420,4,2,2,-,1.1,84.4,4.2,2,7.34
Odsonne Edouard,Celtic, 23, FW,,,28(3),2340,18,4,1,-,3.5,80.2,0.8,4,7.33
Anthony Ralston,Celtic, 22, Defender,,,1,90,-,-,1,-,-,68.6,4,-,7.32
Shane Duffy,Celtic, 29, D(C),,,14(4),1337,3,1,2,-,1.3,82.9,5.8,4,7.31
Ryan Christie,Celtic, 26, AM(CR),FW,,26(8),2363,5,9,1,-,2.7,84.4,0.7,6,7.28
David Turnbull,Motherwell, 21, AM(C),,,5,431,1,-,1,-,3.4,80,2.2,1,7.25
David Turnbull,Celtic, 21, AM(C),,,25(6),2069,8,6,3,-,2.3,87.2,0.7,2,7.24
Kristoffer Ajer,Celtic, 23, D(C),DMC,,34(1),3043,2,3,1,-,0.3,88.9,3,2,7.23
Hakeem Odoffin,Hamilton Academical, 23, D(C),DMC,,32,2860,3,-,7,-,0.8,57.5,4.7,4,7.19
Lyndon Dykes,Livingston, 25, FW,,,3,270,2,-,-,-,2.7,50,10.3,-,7.18
Alfredo Morelos,Rangers, 24, FW,,,26(3),2088,12,4,8,-,2.7,79.8,1,4,7.18
Paul Hanlon,Hibernian, 31, D(C),,,36(1),3192,1,1,6,-,0.5,71.6,5.5,1,7.17
Kemar Roofe,Rangers, 28, AM(CLR),FW,,18(6),1566,14,3,1,-,2,79.2,0.9,3,7.16
Ash Taylor,Aberdeen, 30, D(C),,,30(1),2481,1,-,-,-,0.6,70.3,5.2,6,7.15
Darren McGregor,Hibernian, 35, D(C),,,8(2),706,1,-,4,-,0.5,68.4,3.9,1,7.14
Jon Guthrie,Livingston, 28, D(C),,,36,3240,5,2,8,-,1.1,66.9,5.5,7,7.12
Jordan White,Ross County, 29, FW,,,6(1),568,2,2,1,-,1.6,59.1,5.3,1,7.11
Scott McKenna,Aberdeen, 24, D(C),,,4,316,-,-,-,-,0.3,73.8,6,-,7.11
