Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Toni Sunjic,Dinamo Moscow, 32, D(C),,,2,180,1,-,-,-,0.5,82.8,4,1,8.14
Artem Dzyuba,Zenit, 32, FW,,,26(1),2255,20,6,-,-,2.6,70.2,4.3,5,7.64
Christian Noboa,PFC Sochi, 36, M(C),,,25,2175,12,7,6,-,2.6,74.9,0.9,7,7.50
Douglas Santos,Zenit, 27, D(CL),DMC,M(L),28,2462,3,7,2,-,1.1,85,1,3,7.43
Aleksandr Silyanov,Lokomotiv Moscow, 20, Defender,,,2,180,-,-,-,-,-,74.4,1.5,-,7.40
Oliver Abildgaard,Rubin Kazan, 24, DMC,,,28,2501,-,1,8,1,1.3,75.7,5,4,7.36
Aleksey Miranchuk,Lokomotiv Moscow, 25, M(CR),FW,,4,306,2,1,-,-,2.3,80,0.3,-,7.36
Alexander Sobolev,Spartak Moscow, 24, FW,,,16(6),1521,14,4,10,-,3.2,66,5.4,6,7.34
Sardar Azmoun,Zenit, 26, FW,,,21(3),1739,19,2,4,-,3.5,71.8,1.5,4,7.33
Nikola Vlasic,CSKA Moscow, 23, AM(CLR),FW,,26,2261,11,5,3,-,4,80.9,0.5,5,7.32
Jordan Larsson,Spartak Moscow, 23, AM(CR),FW,,29,2522,15,5,6,-,2.8,78,0.8,5,7.30
Khvicha Kvaratskhelia,Rubin Kazan, 20, AM(LR),,,20(3),1751,4,4,6,-,2.2,76.5,0.3,2,7.25
Rémy Cabella,FC Krasnodar, 31, M(CLR),FW,,19(5),1560,8,1,3,1,1.6,84.8,0.3,5,7.25
Murilo Cerqueira,Lokomotiv Moscow, 24, D(C),DMC,,22,1980,4,-,4,-,0.8,86.4,2.9,4,7.25
Malcom,Zenit, 24, AM(CLR),,,20(1),1621,3,3,2,-,3,84.7,0.4,2,7.24
Anton Zabolotny,PFC Sochi, 29, FW,,,21(6),1964,9,4,6,-,3,63.1,5.1,5,7.23
Filip Dagerstål,Khimki, 24, D(CL),DMC,,10,900,-,-,2,-,0.5,73.7,2.3,-,7.21
Mario Fernandes,CSKA Moscow, 30, D(R),M(R),,23,1974,1,1,4,-,0.5,81.2,2,2,7.19
Grzegorz Krychowiak,Lokomotiv Moscow, 31, D(C),M(C),,25(1),2261,9,3,8,1,2.4,82.8,1.2,4,7.18
Egor Baburin,FC Krasnodar, 27, GK,,,2,180,-,-,-,-,-,56,0.5,-,7.18
Dmitrii Merenchukov,FC Tambov, 22, Forward,,,2,175,-,1,-,-,0.5,69.4,-,-,7.16
Wendel,Zenit, 23, M(C),,,13(2),1114,2,3,1,-,2.1,89.6,0.1,2,7.16
Evgeni Gorodov,FC Krasnodar, 35, GK,,,4,360,-,-,-,-,-,75.2,-,-,7.15
Pablo,Lokomotiv Moscow, 29, D(C),,,10,900,-,-,1,-,0.5,88.6,3.1,-,7.15
Daler Kuzyaev,Zenit, 28, D(R),M(CLR),,14(4),1274,3,2,4,-,1.7,87.2,0.9,-,7.15
Daniil Lesovoy,Dinamo Moscow, 23, AM(CL),,,21(1),1748,5,3,2,-,2,71.1,0.3,2,7.14
Sebastian Szymanski,Dinamo Moscow, 22, AM(CR),,,28,2329,1,5,7,1,2.4,77.7,0.5,1,7.12
Artur Yusupov,PFC Sochi, 31, M(CL),,,22(1),1937,7,2,5,-,1.5,82.9,0.6,2,7.11
Ayrton Lucas,Spartak Moscow, 23, D(L),M(L),,27,2327,2,1,8,1,1.6,76.5,1,1,7.10
Wanderson Maciel,FC Krasnodar, 26, AM(LR),,,16(5),1459,2,3,2,-,2.4,77,0.3,3,7.10
Djorde Despotovic,Rubin Kazan, 29, FW,,,21(5),1990,14,3,6,-,2.4,69.4,3.3,2,7.09
Denis Makarov,Rubin Kazan, 23, AM(R),,,20(8),1943,7,1,8,1,3,60.7,1.1,2,7.09
Arsen Zakharyan,Dinamo Moscow, 18, AM(R),,,10(3),889,3,3,3,-,2,76.8,0.3,1,7.09
Sergey Petrov,FC Krasnodar, 30, D(LR),M(C),,9(1),796,2,1,4,-,1.2,86.8,1.3,-,7.08
Roman Zobnin,Spartak Moscow, 27, M(CLR),,,28,2455,1,3,7,1,1,81.9,1.4,4,7.07
Vitaliy Sychev,FC Tambov, 21, Goalkeeper,,,4,360,-,-,-,-,-,36.2,-,1,7.07
Chidera Ejuke,CSKA Moscow, 23, AM(LR),FW,,18(7),1591,5,2,-,-,2,84.9,0.2,1,7.06
Denis Glushakov,Khimki, 34, M(C),,,14(1),1243,3,1,4,-,1.9,74.6,0.7,4,7.06
Anton Kochenkov,Lokomotiv Moscow, 34, GK,,,5(1),474,-,-,-,-,-,55.7,0.2,-,7.03
Maciej Rybus,Lokomotiv Moscow, 31, D(L),M(LR),,26,2340,1,1,8,-,0.6,83.2,1.6,-,7.03
Roman Evgeniev,Dinamo Moscow, 22, D(C),,,27,2338,1,1,5,2,0.6,79.7,2.7,-,7.03
Maksim Osipenko,FC Rostov, 27, D(C),,,28,2442,-,1,1,1,0.5,73.1,3.6,2,7.02
Samuel Gigot,Spartak Moscow, 27, D(C),,,26,2307,3,-,5,1,0.9,84.9,2.9,2,7.02
Victor Moses,Spartak Moscow, 30, M(CLR),,,18(1),1513,4,2,3,-,1.6,75,0.4,-,7.01
Rafal Augustyniak,Ural, 27, D(C),DMC,,22(3),1932,4,-,4,1,1.4,83.4,2.1,3,7.00
Igor Diveev,CSKA Moscow, 21, D(C),,,23,2070,2,2,6,-,0.9,84,3.3,1,6.99
Maksim Mukhin,Lokomotiv Moscow, 19, DMC,,,8(2),715,-,-,5,-,0.6,83.2,1.5,-,6.99
Ivan Oblyakov,CSKA Moscow, 22, M(CL),,,23(4),2080,1,3,4,-,1.4,84.2,0.9,1,6.98
Quincy Promes,Spartak Moscow, 29, M(CLR),FW,,10(1),895,3,2,3,-,3.4,79.9,0.2,-,6.97
Wilmar Barrios,Zenit, 27, DMC,,,26,2194,-,1,7,1,0.3,88.3,0.8,-,6.97
Denys Kulakov,Ural, 35, D(R),,,24(1),2156,-,3,3,-,0.5,79.7,1.4,2,6.97
Alex Kral,Spartak Moscow, 23, DMC,,,28(1),2401,-,5,3,-,0.7,81,1.6,1,6.97
Baktiyor Zainutdinov,FC Rostov, 23, D(L),M(CLR),,4,336,-,-,2,-,1.3,78.6,3.8,-,6.97
Aleksandr Martynovich,FC Krasnodar, 33, D(CR),,,23(1),2115,-,-,2,1,0.6,86.8,4,-,6.96
Fedor Smolov,Lokomotiv Moscow, 31, AM(CL),FW,,16(5),1387,7,3,1,-,2.4,71.3,0.8,1,6.95
Dejan Lovren,Zenit, 31, D(C),,,21,1846,2,-,5,-,1,82.2,3.5,-,6.95
Ilya Samoshnikov,Rubin Kazan, 23, D(LR),,,21(3),1831,2,-,6,1,0.6,76.4,0.5,1,6.95
Oleg Danchenko,FC Ufa, 26, D(R),M(R),,11(4),1016,-,5,2,-,0.9,80.1,0.7,1,6.94
Ivan Ordets,Dinamo Moscow, 28, D(C),,,27,2384,3,-,7,1,0.4,82.2,3.4,1,6.94
Hwang In-Beom,Rubin Kazan, 24, M(C),,,13(5),1263,3,2,3,1,1.1,82.2,0.6,2,6.94
Artem Polyarus,FK Akhmat, 28, AM(LR),,,8(4),683,1,3,-,-,1.3,62.6,0.8,-,6.94
Aleksandr Filin,Khimki, 24, D(C),,,16,1440,-,-,3,-,-,72.5,1.8,1,6.94
Daniil Fomin,Dinamo Moscow, 24, DMC,,,29,2358,6,3,6,-,1.7,79.4,1.7,2,6.94
Reziuan Mirzov,Khimki, 27, AM(CL),FW,,14(3),1316,6,1,3,-,2.5,76.6,0.2,1,6.93
Daniil Odoevskiy,Zenit, 18, Goalkeeper,,,1,90,-,-,-,-,-,81.8,-,-,6.92
Mathias Normann,FC Rostov, 25, M(C),,,15,1144,1,1,6,1,1.5,74.9,2,1,6.92
Vedran Corluka,Lokomotiv Moscow, 35, D(C),,,22,1788,-,2,4,1,0.2,80.8,3,1,6.91
Miha Mevlja,PFC Sochi, 30, D(C),,,29,2579,3,-,4,-,0.2,82.6,2.6,1,6.91
Anton Miranchuk,Lokomotiv Moscow, 25, AM(CLR),FW,,13(10),1342,4,5,1,-,1.9,76,0.7,4,6.90
Danila Prokhin,PFC Sochi, 20, D(C),,,6(1),552,1,-,1,-,0.7,70.3,1.3,-,6.90
Viktor Claesson,FC Krasnodar, 29, M(CLR),FW,,20(4),1712,6,5,6,-,1.5,80.1,1.5,2,6.90
Igor Kalinin,Ural, 25, D(L),,,22,1914,1,2,7,-,0.3,76.6,1.5,2,6.89
Oleg Ivanov,FC Ufa, 34, M(C),FW,,8(1),710,1,-,2,-,1.2,79.3,3.2,1,6.89
Ilya Lantratov,Khimki, 25, GK,,,30,2700,-,-,2,-,-,46.2,0.3,3,6.89
Konstantin Kuchaev,CSKA Moscow, 23, M(CLR),,,18(3),1427,6,3,1,-,1.3,78.4,0.7,2,6.89
Sergey Terekhov,PFC Sochi, 30, D(CL),M(L),,27,2375,3,1,8,1,0.9,73,1.4,1,6.89
Danil Glebov,FC Rostov, 21, M(C),,,21(5),1922,1,3,1,1,0.9,73.5,2,1,6.89
Dennis Hadzikadunic,FC Rostov, 22, D(C),,,25,2175,1,1,6,1,0.6,76.6,4.2,1,6.88
Vyacheslav Karavaev,Zenit, 26, D(R),,,25,2170,3,3,2,-,0.8,85.8,0.4,-,6.88
Dmitri Tikhiy,Khimki, 28, D(C),,,28,2446,-,-,7,-,0.5,74.3,2.8,-,6.88
Vladislav Kamilov,FC Ufa, 25, M(C),,,17(1),1344,4,1,5,-,1.4,76.5,1.7,-,6.88
Soslan Takazov,FC Tambov, 28, D(CL),,,6(1),583,-,-,-,-,0.4,70.3,2.6,-,6.87
Viktor Vasin,CSKA Moscow, 32, D(C),,,10(3),1019,-,2,2,-,0.3,83.5,3.5,-,6.87
Filip Mrzljak,FC Ufa, 28, M(C),,,13(2),1125,4,1,7,-,1,75.5,0.5,1,6.87
Alexander Lomovitskiy,Khimki, 23, M(LR),,,6(2),554,2,-,1,-,1,74.7,1,1,6.87
Miroslav Bogosavac,FK Akhmat, 24, D(L),,,28(1),2480,-,1,3,1,0.3,75.3,0.9,1,6.87
Komnen Andric,FC Ufa, 25, FW,,,15(1),1344,3,3,1,-,1.8,63.5,3.4,2,6.86
Carl Starfelt,Rubin Kazan, 26, D(C),,,29,2592,3,-,1,-,0.3,91.4,1.6,-,6.86
Magomed Ozdoev,Zenit, 28, M(C),,,21(7),1885,-,3,3,-,0.8,82.8,0.8,-,6.86
Sebastián Driussi,Zenit, 25, AM(CLR),FW,,11(5),884,1,3,1,-,1.3,84.1,0.3,1,6.86
Arsen Adamov,Ural, 21, D(R),,,7(1),634,-,1,1,-,0.3,79.7,1,-,6.85
Moritz Bauer,FC Ufa, 29, D(R),M(R),,7,559,-,2,-,-,0.1,78.4,1.1,-,6.85
Nemanja Miletic,FC Ufa, 29, D(L),,,8(1),742,1,-,1,-,0.7,68.3,0.8,-,6.85
Yaroslav Godzyur,Ural, 36, GK,,,12,1080,-,-,2,-,-,58.4,0.1,1,6.85
Yuri Dyupin,Rubin Kazan, 33, GK,,,26,2340,-,-,2,-,-,52.2,0.6,1,6.84
Konstantin Maradishvili,CSKA Moscow, 21, DMC,,,24(2),2089,1,1,8,-,0.7,77.2,0.8,1,6.84
Ezequiel Ponce,Spartak Moscow, 24, AM(L),FW,,18(7),1578,9,1,4,-,2.5,73.8,2,-,6.84
Abdul Mohammed Kadiri,Arsenal Tula, 25, D(C),DMC,,9(2),810,2,-,1,-,1.3,79.2,1.9,1,6.84
Dmitriy Chistyakov,Zenit, 27, D(C),,,9(5),829,-,1,3,-,0.4,88.6,3.2,1,6.83
Nikola Moro,Dinamo Moscow, 23, DMC,,,18(6),1638,3,1,2,-,1.3,78.5,1.3,1,6.83
Filip Uremovic,Rubin Kazan, 24, D(CR),,,22(2),1995,-,-,8,-,0.7,81.3,1.8,-,6.83
Yaroslav Rakitskiy,Zenit, 31, D(C),,,24,2034,1,3,4,2,0.8,82.8,1.7,-,6.82
Kaio,FC Krasnodar, 25, D(C),DMC,,22(2),1947,1,-,6,2,0.6,84.7,3.5,1,6.82
Brian Idowu,Khimki, 29, D(CLR),M(LR),,28,2506,3,1,6,1,0.8,75.9,1.5,1,6.82
Bernard Berisha,FK Akhmat, 29, M(CLR),FW,,23(4),1956,8,2,10,-,2.1,66.7,0.3,2,6.82
Daniil Lesovoy,Arsenal Tula, 23, AM(CL),,,6,432,2,-,-,1,1.8,72.7,1.2,1,6.82
Igor Leshchuk,Dinamo Moscow, 25, GK,,,3,270,-,-,-,-,-,50,-,-,6.82
