Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Marco Festa,Crotone, 28, Goalkeeper,,,1,90,-,-,-,-,-,81.5,-,1,7.80
Cristiano Ronaldo,Juventus, 36, M(L),FW,,31(2),2803,29,3,3,-,5.1,82.1,0.7,8,7.61
Zlatan Ibrahimovic,AC Milan, 39, FW,,,18(1),1498,15,2,2,1,4.3,72,4.5,8,7.57
Lorenzo Insigne,Napoli, 29, AM(CL),FW,,33(2),2872,19,7,2,1,4.1,83.7,0.1,11,7.56
Romelu Lukaku,Inter, 28, AM(R),FW,,32(4),2887,24,11,4,-,2.7,72.6,1.3,7,7.47
Domenico Berardi,Sassuolo, 26, AM(R),FW,,28(2),2485,17,7,4,-,3.8,80.5,0.4,8,7.42
Rodrigo de Paul,Udinese, 27, AM(CLR),FW,,36,3204,9,9,3,2,2.3,79.8,0.2,12,7.41
Adam Ounas,Crotone, 24, AM(CLR),FW,,15,1209,4,3,1,-,1.7,83,0.6,4,7.39
Henrikh Mkhitaryan,Roma, 32, M(CLR),FW,,30(4),2747,13,10,2,-,2.4,78.5,0.4,4,7.30
Sergej Milinkovic-Savic,Lazio, 26, AM(C),,,32,2754,8,9,4,-,2,78.7,3.3,8,7.30
Theo Hernández,AC Milan, 23, D(L),,,33,2935,7,5,9,-,1.4,83.1,1.6,2,7.28
Papu Gómez,Atalanta, 33, M(CL),FW,,9(1),672,4,2,-,-,2.9,84.8,-,2,7.27
Hakan Calhanoglu,AC Milan, 27, M(CLR),FW,,30(3),2629,4,9,4,-,2.5,84.1,0.5,4,7.27
Luis Muriel,Atalanta, 30, AM(CL),FW,,16(20),1437,22,9,-,-,2.4,74.9,0.7,7,7.25
Federico Chiesa,Fiorentina, 23, M(CLR),FW,,3,241,1,1,-,-,3.3,79.5,0.3,1,7.24
Andrea Belotti,Torino, 27, FW,,,33(2),2895,13,6,4,-,3.1,69.5,2.4,3,7.23
Lorenzo Pellegrini,Roma, 24, M(C),,,30(4),2608,7,6,10,-,2.1,82,0.6,7,7.23
Junior Messias,Crotone, 30, AM(C),FW,,36,3217,9,4,6,-,2.7,78.5,1,3,7.22
Federico Chiesa,Juventus, 23, M(CLR),FW,,28(2),2227,8,8,3,1,2,80.4,0.2,3,7.21
Rafael,Spezia, 39, GK,,,2(1),206,-,1,-,-,-,71.1,0.7,1,7.21
Robin Gosens,Atalanta, 26, D(L),M(CL),,30(2),2539,11,6,7,1,1.6,81.8,1.1,3,7.19
Lautaro Martínez,Inter, 23, FW,,,30(8),2576,17,6,5,-,2.9,68.4,0.7,5,7.17
Juan Cuadrado,Juventus, 33, D(R),M(CLR),FW,26(4),2180,2,10,9,1,0.6,87.7,0.4,4,7.16
Ruslan Malinovskiy,Atalanta, 28, M(CR),FW,,22(14),1883,8,12,3,-,1.9,80.1,0.8,4,7.16
Piotr Zielinski,Napoli, 27, M(CL),,,32(4),2548,8,10,2,-,1.7,85.9,0.1,-,7.16
Ciro Immobile,Lazio, 31, FW,,,34(1),2866,20,6,3,1,3.4,74,0.8,6,7.15
Franck Kessié,AC Milan, 24, DMC,,,36(1),3230,13,4,8,-,1.3,88.9,1.5,2,7.15
Cristian Romero,Atalanta, 23, D(C),,,29(2),2549,2,2,10,-,0.5,86.2,3.6,2,7.14
Giovanni Di Lorenzo,Napoli, 27, D(CR),M(R),,36,3240,3,6,11,-,0.8,86.9,1.6,1,7.14
Josip Ilicic,Atalanta, 33, AM(CLR),FW,,17(11),1532,6,9,2,-,2.1,77.5,-,4,7.13
Luis Alberto,Lazio, 28, AM(CL),FW,,33(1),2641,9,2,5,-,2,81.9,0.3,4,7.10
Victor Osimhen,Napoli, 22, FW,,,16(8),1576,10,3,4,-,2.8,71.5,1.9,2,7.09
Manuel Locatelli,Sassuolo, 23, M(C),,,32(2),2886,4,2,9,-,1.2,88.3,1.4,1,7.08
Andrea Ranocchia,Inter, 33, D(C),,,8,704,-,1,2,-,1.1,94.3,2.6,1,7.07
Gianluca Pegolo,Sassuolo, 40, GK,,,1,90,-,-,-,-,-,95,-,-,7.06
Duván Zapata,Atalanta, 30, FW,,,29(8),2400,15,9,-,-,2.7,79.5,1.3,1,7.05
Diego Godín,Cagliari, 35, D(C),,,28,2510,1,-,3,-,0.4,83.6,2.5,1,7.04
Davide Calabria,AC Milan, 24, D(LR),M(R),,30(2),2652,2,1,7,-,0.8,79.2,0.8,-,7.04
Marcelo Brozovic,Inter, 28, M(CR),,,29(4),2585,2,6,7,1,0.8,89.6,0.6,1,7.03
Danilo,Juventus, 29, D(CLR),,,32(2),2918,1,4,6,-,0.6,88.9,0.9,1,7.03
Karlo Letica,Sampdoria, 24, GK,,,1,90,-,-,-,-,-,85.2,-,-,7.03
Milan Badelj,Genoa, 32, M(C),,,29(1),2415,1,4,7,-,0.6,82.1,0.6,1,7.02
Simon Kjaer,AC Milan, 32, D(C),,,28,2397,-,2,3,-,0.6,88,2,1,7.01
Paulo Dybala,Juventus, 27, AM(CR),FW,,14(6),1137,4,3,-,-,2.6,87.8,0.1,1,7.01
João Pedro,Cagliari, 29, AM(CL),FW,,37,3262,16,3,4,-,2.1,74.3,1.8,3,7.00
Remo Freuler,Atalanta, 29, DMC,,,32(2),2721,2,3,5,-,0.6,89,0.5,-,6.99
Ignacio Pussetto,Udinese, 25, AM(CLR),FW,,9(2),757,3,1,2,-,1.5,67.7,2,1,6.99
Ante Rebic,AC Milan, 27, AM(CLR),FW,,20(7),1782,11,4,4,1,1.6,67.7,0.9,3,6.99
Fabián Ruiz,Napoli, 25, M(CL),,,29(4),2576,3,1,1,-,1.3,90.2,0.5,2,6.98
Leonardo Spinazzola,Roma, 28, D(LR),M(L),,25(2),2130,2,4,-,-,0.8,80.6,0.4,2,6.98
Achraf Hakimi,Inter, 22, D(LR),M(R),,29(8),2673,7,8,6,-,1.1,84.5,0.4,3,6.98
Marten de Roon,Atalanta, 30, DMC,,,33(2),3022,1,1,8,1,0.5,85.5,1.9,-,6.98
Hirving Lozano,Napoli, 25, AM(LR),FW,,23(9),1972,11,3,6,-,1.8,76.6,0.5,2,6.98
Juraj Kucka,Parma Calcio 1913, 34, M(CLR),,,28,2345,7,2,8,-,2.1,72.4,2.9,3,6.97
Fikayo Tomori,AC Milan, 23, D(CR),,,16(1),1466,1,-,-,-,0.3,88.7,1.8,1,6.96
Nicolò Barella,Inter, 24, AM(C),,,32(4),2901,3,7,5,-,1,84.9,0.9,1,6.95
Alex Sandro,Juventus, 30, D(CL),M(L),,20(6),1859,2,1,2,-,0.5,87.7,1.5,1,6.94
Rodrigo Bentancur,Juventus, 23, M(C),,,27(6),2326,-,4,6,1,0.5,89.8,0.9,2,6.94
Vlad Chiriches,Sassuolo, 31, D(CR),,,22(2),1843,2,1,6,-,0.5,93.7,2.2,-,6.93
Roberto Soriano,Bologna, 30, AM(CLR),,,37,3255,9,6,5,-,1.6,82.9,0.9,1,6.93
Marco Faraoni,Verona, 29, D(R),M(R),,33(1),2896,4,7,8,-,1,71.6,1.2,2,6.92
Daniel Fuzato,Roma, 23, GK,,,5,450,-,-,-,-,-,68.6,0.2,-,6.91
Álvaro Morata,Juventus, 28, AM(L),FW,,23(9),2019,11,9,3,1,1.8,76.5,1.1,4,6.91
Andrea Consigli,Sassuolo, 34, GK,,,37,3330,-,-,1,-,-,78.8,0.5,5,6.91
Edin Dzeko,Roma, 35, FW,,,20(7),1828,7,3,2,-,2.6,68.8,3.1,3,6.91
Berat Djimsiti,Atalanta, 28, D(C),,,28(5),2629,-,2,8,-,0.6,87.4,2.3,-,6.90
Omar Colley,Sampdoria, 28, D(C),,,28(1),2590,2,-,6,-,0.4,81.1,2.6,2,6.90
Federico Dimarco,Verona, 23, D(CL),M(L),,29(6),2616,5,3,6,-,1.1,75.7,0.5,3,6.90
Dusan Vlahovic,Fiorentina, 21, FW,,,34(3),2933,21,3,1,-,2.3,66.3,3.1,5,6.90
Adrien Rabiot,Juventus, 26, DMC,,,25(9),2314,4,2,5,1,1,90.8,1.1,-,6.90
Joaquín Correa,Lazio, 26, AM(CL),FW,,25(3),1945,8,3,1,1,1.9,83.2,0.5,1,6.90
Milan Skriniar,Inter, 26, D(C),,,31(1),2779,3,-,1,-,0.5,92.2,1,1,6.90
Gianluca Mancini,Roma, 25, D(C),DMC,,33,2855,4,2,10,-,0.8,88.2,1.8,1,6.89
Mattia Zaccagni,Verona, 25, AM(C),FW,,33(3),2630,5,5,6,-,0.9,74.1,1.4,4,6.89
Stefan de Vrij,Inter, 29, D(C),,,30(2),2732,1,-,2,-,0.4,93.8,2,1,6.89
Dries Mertens,Napoli, 34, AM(CLR),FW,,18(11),1464,9,8,2,-,1.9,80.3,0.1,3,6.88
Morten Thorsby,Sampdoria, 25, M(CLR),,,29(4),2648,3,1,10,-,0.7,74.9,4.6,4,6.87
Rafael Leão,AC Milan, 21, AM(L),FW,,22(8),1934,6,6,5,-,1.4,75.7,1.4,-,6.87
Guglielmo Vicario,Cagliari, 24, Goalkeeper,,,4,360,-,-,-,-,-,62.9,-,-,6.87
Simone Bastoni,Spezia, 24, D(L),,,19(3),1530,1,6,7,-,1,76.6,1.3,2,6.86
Kalidou Koulibaly,Napoli, 29, D(C),,,25(1),2211,-,-,8,1,0.4,88.7,1.5,1,6.86
Bremer,Torino, 24, D(C),,,33,2936,5,-,2,-,0.8,82.7,2.9,1,6.86
Ibañez,Roma, 22, D(C),,,28(2),2402,-,1,5,1,0.5,86.9,2.2,2,6.86
Alessandro Bastoni,Inter, 22, D(C),,,33,2926,-,3,6,-,0.3,90.5,1.5,-,6.85
Francesco Acerbi,Lazio, 33, D(C),,,32,2815,-,1,7,1,0.3,89.4,1.9,-,6.85
Antonio Sanabria,Torino, 25, FW,,,12(2),984,5,1,2,-,1.4,75.1,2.1,1,6.85
Matteo Politano,Napoli, 27, AM(CLR),FW,,22(15),1911,9,4,3,-,1.7,81.7,0.1,-,6.85
Jeremie Boga,Sassuolo, 24, AM(CLR),FW,,20(7),1790,4,2,-,-,1.2,89.4,0.1,2,6.85
Hans Hateboer,Atalanta, 27, D(R),M(R),,20(2),1765,2,1,3,-,1.2,87.1,1,-,6.84
Kevin Strootman,Genoa, 31, DMC,,,18,1330,-,4,7,-,0.3,84.1,0.9,1,6.83
Wilfried Stephane Singo,Torino, 20, M(R),,,20(8),1854,1,2,2,1,0.4,79.9,1.9,2,6.83
