Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Erdem Canpolat,Kasimpasa, 20, Goalkeeper,,,1,90,-,-,1,-,-,60.7,-,-,8.15
Cenk Tosun,Besiktas, 29, FW,,,2(1),175,3,1,-,-,3.3,74.3,1.3,-,7.95
Mustafa Burak Boznan,Gaziantep FK, 20, Goalkeeper,,,1,90,-,-,-,-,-,55.6,2,-,7.73
Rachid Ghezzal,Besiktas, 29, AM(CLR),,,30(1),2421,8,17,5,-,1.8,80.3,1.1,6,7.65
Mario Situm,Kayserispor, 29, M(R),,,1,90,-,-,-,-,1,67.7,3,-,7.56
Diego Perotti,Fenerbahce, 32, M(CLR),FW,,2(2),193,3,-,-,-,2.8,82.6,0.5,1,7.45
Anastasios Bakasetas,Alanyaspor, 27, AM(CL),,,18(1),1603,7,2,5,-,3,84.2,0.7,3,7.38
Gastón Campi,Trabzonspor, 30, D(CL),,,2(1),243,1,1,-,-,0.7,84.8,5.7,-,7.37
Anastasios Bakasetas,Trabzonspor, 27, AM(CL),,,18(1),1627,6,2,3,-,2.8,86.2,0.8,4,7.34
Caleb Ekuban,Trabzonspor, 27, AM(CLR),FW,,32,2748,10,4,3,-,2.2,78.1,1.4,7,7.32
Anthony Nwakaeme,Trabzonspor, 32, AM(L),,,34,2970,7,5,3,1,3.1,79.1,1.1,5,7.30
Adem Büyük,Yeni Malatyaspor, 33, AM(CLR),FW,,34,2900,17,3,10,-,2.2,70,2.1,6,7.29
Gedson Fernandes,Galatasaray, 22, AM(CR),,,17,1399,-,3,2,-,1,88.4,0.4,5,7.27
Mert Topuz,Ankaragucu, 20, Goalkeeper,,,1,90,-,-,-,-,-,57.1,-,-,7.26
Aaron-Salem Boupendza,Hatayspor, 24, AM(L),,,25(11),2501,22,1,7,-,3.1,71.8,1.3,10,7.25
Erten Ersu,Konyaspor, 27, Goalkeeper,,,1,90,-,-,-,-,-,83.3,-,-,7.24
Vincent Aboubakar,Besiktas, 29, AM(R),FW,,25(1),2136,15,5,-,-,3,76.3,1.2,3,7.18
Cyle Larin,Besiktas, 26, AM(LR),FW,,33(5),2887,19,5,3,1,2.1,79.5,2.3,6,7.18
Fabio Borini,Fatih Karagumruk, 30, M(CLR),FW,,19(1),1685,9,1,3,-,2.2,71.8,0.7,4,7.16
Caner Erkin,Fenerbahce, 32, D(L),M(L),,30(4),2703,-,9,8,-,0.5,75.9,0.9,5,7.16
Aatif Chahechouhe,Erzurum BB, 34, AM(CL),FW,,15,1298,4,1,3,-,2.6,85.5,0.3,2,7.16
Max-Alain Gradel,Sivasspor, 33, M(CLR),FW,,39,3400,11,13,2,1,2.5,74.2,0.8,6,7.14
Mame Biram Diouf,Hatayspor, 33, M(LR),FW,,38,3196,19,5,4,-,2.4,63.6,3.9,4,7.14
Valentin Rosier,Besiktas, 24, D(LR),M(LR),,33,2917,1,6,8,-,0.4,81.7,1.3,-,7.14
Souza,Besiktas, 32, DMC,,,32(1),2880,2,3,7,1,1.3,85.8,1.5,2,7.13
Faycal Fajr,Sivasspor, 32, M(CLR),,,36,3106,4,5,6,-,1,86.5,0.5,4,7.13
Silviu Lung Jr.,Kayserispor, 31, GK,,,8,676,-,-,1,-,-,67,0.1,2,7.12
Enner Valencia,Fenerbahce, 31, AM(LR),FW,,29(5),2481,12,4,7,-,2.1,77.3,1.4,5,7.12
Salih Ucan,Alanyaspor, 27, M(C),,,29(6),2442,2,6,10,-,1.6,84,0.4,5,7.12
Nazim Sangaré,Fenerbahce, 27, D(R),,,18(1),1589,1,1,2,-,0.4,80.7,1.3,1,7.11
Muhammet Demir,Gaziantep FK, 29, FW,,,24(7),2039,15,5,5,-,1.8,73.3,2.8,4,7.10
Welinton,Besiktas, 32, D(C),,,34(1),2993,1,2,9,-,0.7,84.9,3.4,4,7.10
Fredy Ribeiro,Antalyaspor, 31, M(CLR),FW,,31(1),2714,8,5,10,-,1.3,81.3,0.4,3,7.08
Djaniny,Trabzonspor, 30, FW,,,25(5),2221,8,1,4,-,2.3,73.4,3.2,3,7.08
Ahmet Oguz,Sivasspor, 28, D(R),,,18,1507,-,3,2,-,0.3,71.7,1.6,1,7.08
Davidson,Alanyaspor, 30, AM(LR),FW,,33(6),3027,11,2,6,-,2.4,78.6,0.8,4,7.06
Faruk Can Genç,Trabzonspor, 21, Defender,,,1,90,-,-,1,-,-,72.6,3,-,7.06
Gustavo Campanharo,Kayserispor, 29, M(C),,,22(2),1971,1,2,4,-,1.2,84.7,0.9,2,7.04
