Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
David Ayala,Estudiantes, 18, Midfielder,,,1,80,-,-,-,-,-,81.6,3,1,7.68
Ignacio Fernández,River Plate, 31, M(CR),,,18,1570,5,3,4,-,2.6,79.2,0.8,3,7.66
Pablo Pérez,Newell's Old Boys, 35, M(C),,,3,248,1,-,1,-,1.3,90.3,1.3,1,7.52
Nicolás Giménez,Arsenal Sarandi, 25, AM(C),,,21(1),1697,7,4,2,-,3,73.7,0.5,5,7.48
Marcelino Moreno,Lanus, 26, AM(CLR),,,20,1705,3,4,3,-,2,79.4,0.5,6,7.43
Matías Orihuela,Newell's Old Boys, 29, D(L),M(L),,1,90,-,-,-,-,-,76.9,6,-,7.42
Marcos Díaz,Boca Juniors, 35, GK,,,3,270,-,-,-,-,-,52.3,0.3,-,7.39
Miguel Barbieri,Rosario Central, 27, D(C),,,11,972,-,1,4,-,0.9,64.8,5.1,1,7.37
Maximiliano Cavallotti,Central Cordoba de Santiago, 36,,,,1,90,-,-,-,-,-,50,-,-,7.37
Paolo Goltz,Boca Juniors, 36, D(C),,,4,360,-,-,1,-,1.3,78.3,4.5,1,7.34
Carlos Tevez,Boca Juniors, 37, AM(CL),FW,,11(6),1056,9,2,2,-,2,84.2,0.6,2,7.34
Enzo Díaz,Talleres, 25, D(L),,,15,1306,-,3,4,-,0.8,74.6,1.7,2,7.33
Mario López,Aldosivi, 25, Defender,,,1,88,-,-,-,-,-,71.4,1,-,7.33
Francisco Pizzini,Defensa y Justicia, 27, AM(LR),FW,,4(1),303,1,3,-,-,1.2,71,0.2,1,7.31
Eduardo Salvio,Boca Juniors, 30, M(CR),,,12(5),1112,6,3,1,-,2.3,76.1,0.8,1,7.31
Guillermo Burdisso,Lanus, 32, D(C),,,1,90,-,-,-,-,3,84.3,4,-,7.30
Nicolás De La Cruz,River Plate, 24, AM(C),,,16(1),1347,4,5,4,1,2.5,76.6,1.4,4,7.29
Danilo Ortíz,Godoy Cruz, 28, D(C),,,2,180,-,-,1,-,-,66.7,2,-,7.29
Ricardo Centurión,Velez Sarsfield, 28, AM(CLR),FW,,3(2),306,1,2,1,-,2.2,76.4,0.4,1,7.29
